ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Curaçao,  ,2022,Out,17,,,,,,-,,152,,
6,Cayman Islands,  ,2022,Out,17,0,0,,0,,17,3.17,63,0,2
6,Virgin Islands (UK),  ,2022,Out,17,100,18.181818182,,11,,17,28.95,38,2,11
3,Ecuador,  ,2022,Out,17,100,0.552195635,0.066,7606,5,17,42.52,17888,42,7606
2,Costa Rica,"DEN 1,2",2022,Out,17,6.519337017,0,0.000,59,0,17,17.61,5139,0,905
2,Mexico,"DEN 1,2,3,4",2022,Out,17,12.549096622,0.706991359,0.079,639,4,17,3.91,130262,36,5092
6,Montserrat,  ,2022,Out,17,0,0,,0,,16,20.00,5,0,1
2,Panama,"DEN 1,2",2022,Out,17,78.018995929,0.271370421,0.136,575,1,17,16.76,4398,2,737
4,Chile,  ,2022,Out,17,,,,0,0,8,0.00,19212,0,0
1,Canada,  ,2022,Out,17,,,,0,0,17,,0,0,0
6,Haiti,  ,2022,Out,17,0.066269052,0,0.000,1,0,13,13.07,11542,0,1509
6,Trinidad and Tobago,  ,2022,Out,17,7.142857143,0,,1,,16,1.00,1403,0,14
6,Saint Kitts and Nevis,  ,2022,Out,17,0,0,0.000,0,0,17,1.85,54,0,1
6,Aruba,  ,2022,Out,17,100,0,0.000,2,0,16,1.65,121,0,2
4,Paraguay,"DEN 1,2",2022,Out,17,3.257328990,0,0.000,70,0,17,29.76,7220,0,2149
6,Saint Martin,  ,2022,Out,17,,,,,,-,,33,,
4,Argentina,"DEN 1,2",2022,Out,17,100,0,0.000,392,0,17,0.86,45606,0,392
2,Belize,  ,2022,Out,17,,,,0,0,16,0.00,405,0,0
6,Saint Barthelemy,  ,2022,Out,17,,,,,,-,,7,,
3,Bolivia,"DEN 1,2",2022,Out,17,38.199203187,0.286852590,0.064,2397,4,17,53.03,11833,18,6275
6,Guyana,  ,2022,Out,17,100,0,0.000,157,0,16,19.87,790,0,157
2,Nicaragua,"DEN 1,2,3,4",2022,Out,17,1.271847050,0.024616395,0.000,155,0,17,181.84,6702,3,12187
3,Peru,"DEN 1,2",2022,Out,17,82.914514199,0.356069229,0.140,28409,48,17,102.71,33359,122,34263
6,Antigua and Barbuda,  ,2022,Out,17,0,0,0.000,0,0,17,4.04,99,0,4
1,United States of America,  ,2022,Out,17,100,0,0.000,57,0,17,0.02,332915,0,57
4,Uruguay,  ,2022,Out,17,,,,,,-,,3485,,
3,Andean Subregion,  ,2022,In,17,71.633224941,0.782221689,0.105,47803,70,-,46.65,143051,522,66733
4,Southern Cone,  ,2022,In,17,58.772534968,0.062630091,0.052,693483,609,-,407.56,289516,739,1179944
6,Bahamas,  ,2022,Out,17,,,,,,-,,397,,
4,Brazil,"DEN 1,2,4",2022,Out,17,58.860135400,0.062765255,0.052,693021,609,17,550.21,213993,739,1177403
6,Grenada,  ,2022,Out,17,94.059405941,3.960396040,0.000,95,0,17,88.60,114,4,101
3,Colombia,"DEN 1,2,3,4",2022,Out,17,54.087722348,1.935222203,0.064,9335,11,17,33.67,51266,334,17259
6,Barbados,  ,2022,Out,17,0,,0.000,0,0,17,4.97,302,,15
2,El Salvador,"DEN 1,2,3,4",2022,Out,17,0.599297375,0.103327134,0.000,29,0,17,74.23,6519,5,4839
6,Bermuda,  ,2022,Out,17,,,,0,0,17,0.00,72,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,17,84,8,0.000,105,0,17,4.42,2828,10,125
