ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Curaçao,  ,2022,Out,42,,,,,,-,,152,,
2,Costa Rica,"DEN 1,2,3,4",2022,Out,42,6.483439042,0,0.000,368,0,40,110.45,5139,0,5676
6,Trinidad and Tobago,  ,2022,Out,42,7.894736842,0,,3,,36,2.71,1403,0,38
6,Virgin Islands (UK),  ,2022,Out,42,100,9.090909091,,22,,36,57.89,38,2,22
3,Ecuador,  ,2022,Out,42,100,0.714028128,0.108,13865,15,34,77.51,17888,99,13865
2,Guatemala,"DEN 1,2,3,4",2022,Out,42,19.757536042,0.327653997,0.131,1206,8,39,33.45,18250,20,6104
6,Cayman Islands,  ,2022,Out,42,0,0,,0,,32,3.17,63,0,2
6,Haiti,  ,2022,Out,42,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
2,Mexico,"DEN 1,2,3,4",2022,Out,42,19.119965960,0.600705829,0.035,7639,14,41,30.67,130262,240,39953
2,Panama,"DEN 1,2",2022,Out,42,74.906068542,0.170784470,0.034,6579,3,41,199.70,4398,15,8783
4,Chile,  ,2022,Out,42,,,,0,0,8,0.00,19212,0,0
1,Canada,  ,2022,Out,42,,,,0,0,41,,0,0,0
6,Montserrat,  ,2022,Out,42,0,0,,0,,36,80.00,5,0,4
6,Saint Kitts and Nevis,  ,2022,Out,42,0,0,0.000,0,0,32,1.85,54,0,1
6,Aruba,  ,2022,Out,42,33.333333333,0,0.000,2,0,36,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,42,4.527845036,0.435835351,0.000,187,0,41,57.20,7220,18,4130
6,Saint Martin,  ,2022,Out,42,0,0,0.000,0,0,27,75.76,33,0,25
4,Argentina,"DEN 1,2",2022,Out,42,100,0,0.000,815,0,36,1.79,45606,0,815
6,Guyana,  ,2022,Out,42,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,42,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
6,Antigua and Barbuda,  ,2022,Out,42,0,0,0.000,0,0,36,4.04,99,0,4
3,Bolivia,"DEN 1,2",2022,Out,42,30.567811241,0.374064838,0.067,3187,7,38,88.11,11833,39,10426
3,Peru,"DEN 1,2",2022,Out,42,73.561281002,0.317842523,0.122,45825,76,42,186.74,33359,198,62295
6,Saint Barthelemy,  ,2022,Out,42,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
1,United States of America,  ,2022,Out,42,100,1.492537313,0.000,804,0,41,0.24,332915,12,804
2,Nicaragua,"DEN 1,2,3,4",2022,Out,42,4.117251541,0.032903678,0.000,2878,0,42,"1,042.99",6702,23,69901
4,Southern Cone,  ,2022,In,42,52.067477648,0.062810395,0.042,1112468,898,-,737.99,289516,1342,2136589
6,Bahamas,  ,2022,Out,42,,,,,,-,,397,,
6,Grenada,  ,2022,Out,42,42.975206612,2.892561983,0.000,104,0,41,212.28,114,7,242
4,Brazil,"DEN 1,2,3,4",2022,Out,42,52.141639086,0.062112530,0.042,1111459,898,37,996.11,213993,1324,2131615
2,El Salvador,"DEN 1,2,3,4",2022,Out,42,0.622608470,0.084311564,0.000,96,0,41,236.52,6519,13,15419
6,Bermuda,  ,2022,Out,42,,,,0,0,36,0.00,72,0,0
2,Belize,  ,2022,Out,42,100,0,0.000,207,0,36,51.11,405,0,207
6,Barbados,  ,2022,Out,42,0,,0.000,0,0,21,4.97,302,,15
3,Colombia,"DEN 1,2,3,4",2022,Out,42,63.780393670,2.005017368,0.069,33051,36,41,101.08,51266,1039,51820
5,Puerto Rico,"DEN 1,2,3",2022,Out,42,85.557986871,3.938730853,0.000,391,0,41,16.16,2828,18,457
