ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Curaçao,  ,2022,Out,18,,,,,,-,,152,,
1,Canada,  ,2022,Out,18,,,,0,0,18,,0,0,0
2,Mexico,"DEN 1,2,3,4",2022,Out,18,12.707182320,0.695063269,0.071,713,4,18,4.31,130262,39,5611
2,Guatemala,"DEN 1,2,3,4",2022,Out,18,26.288209607,0.786026201,0.262,301,3,18,6.27,18250,9,1145
6,Cayman Islands,  ,2022,Out,18,0,0,,0,,18,3.17,63,0,2
6,Montserrat,  ,2022,Out,18,0,0,,0,,16,20.00,5,0,1
4,Chile,  ,2022,Out,18,,,,0,0,8,0.00,19212,0,0
2,Costa Rica,"DEN 1,2",2022,Out,18,6.562193928,0,0.000,67,0,18,19.87,5139,0,1021
6,Haiti,  ,2022,Out,18,0.066269052,0,0.000,1,0,13,13.07,11542,0,1509
2,Panama,"DEN 1,2",2022,Out,18,78.211586902,0.251889169,0.126,621,1,18,18.05,4398,2,794
6,Trinidad and Tobago,  ,2022,Out,18,7.142857143,0,,1,,16,1.00,1403,0,14
6,Aruba,  ,2022,Out,18,100,0,0.000,2,0,16,1.65,121,0,2
4,Paraguay,"DEN 1,2",2022,Out,18,3.546099291,0,0.000,80,0,18,31.25,7220,0,2256
6,Saint Kitts and Nevis,  ,2022,Out,18,0,0,0.000,0,0,18,1.85,54,0,1
6,Saint Martin,  ,2022,Out,18,,,,,,-,,33,,
6,Virgin Islands (US),  ,2022,Out,18,,,,0,0,18,0.00,106,0,0
4,Argentina,"DEN 1,2",2022,Out,18,100,0,0.000,392,0,17,0.86,45606,0,392
6,Bermuda,  ,2022,Out,18,,,,0,0,18,0.00,72,0,0
2,Belize,  ,2022,Out,18,,,,0,0,16,0.00,405,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,18,79.104477612,2.238805970,0.000,106,0,18,4.74,2828,3,134
6,Saint Barthelemy,  ,2022,Out,18,,,,,,-,,7,,
6,Guyana,  ,2022,Out,18,100,0,0.000,157,0,16,19.87,790,0,157
1,United States of America,  ,2022,Out,18,100,0,0.000,59,0,18,0.02,332915,0,59
3,Bolivia,"DEN 1,2",2022,Out,18,38.688771665,0.271288621,0.075,2567,5,18,56.07,11833,18,6635
