ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Curaçao,  ,2022,Out,23,,,,,,-,,152,,
1,Canada,  ,2022,Out,23,,,,0,0,23,,0,0,0
6,Virgin Islands (UK),  ,2022,Out,23,100,18.181818182,,11,,20,28.95,38,2,11
2,Guatemala,"DEN 1,2,3,4",2022,Out,23,28.590724899,0.675371454,0.270,635,6,23,12.17,18250,15,2221
6,Trinidad and Tobago,  ,2022,Out,23,6.25,0,,1,,20,1.14,1403,0,16
4,Chile,  ,2022,Out,23,,,,0,0,8,0.00,19212,0,0
6,Cayman Islands,  ,2022,Out,23,0,0,,0,,23,3.17,63,0,2
2,Costa Rica,"DEN 1,2",2022,Out,23,5.504087193,0,0.000,101,0,23,35.71,5139,0,1835
6,Haiti,  ,2022,Out,23,0.066269052,0,0.000,1,0,13,13.07,11542,0,1509
2,Mexico,"DEN 1,2,3,4",2022,Out,23,12.955803991,0.564204367,0.052,1240,5,23,7.35,130262,54,9571
6,Montserrat,  ,2022,Out,23,0,0,,0,,20,60.00,5,0,3
2,Panama,"DEN 1,2",2022,Out,23,80.054458816,0.272294078,0.068,1176,1,23,33.40,4398,4,1469
6,Aruba,  ,2022,Out,23,33.333333333,0,0.000,2,0,23,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,23,4.918032787,0.484351714,0.000,132,0,23,37.17,7220,13,2684
6,Saint Kitts and Nevis,  ,2022,Out,23,0,0,0.000,0,0,23,1.85,54,0,1
6,Saint Martin,  ,2022,Out,23,,,,,,-,,33,,
6,Virgin Islands (US),  ,2022,Out,23,,,,0,0,23,0.00,106,0,0
2,Belize,  ,2022,Out,23,,,,0,0,16,0.00,405,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,23,80.128205128,3.205128205,0.000,125,0,23,5.52,2828,5,156
6,Saint Barthelemy,  ,2022,Out,23,,,,,,-,,7,,
6,Guyana,  ,2022,Out,23,100,0,0.000,157,0,16,19.87,790,0,157
1,United States of America,  ,2022,Out,23,100,0,0.000,81,0,23,0.02,332915,0,81
4,Uruguay,  ,2022,Out,23,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
3,Bolivia,"DEN 1,2",2022,Out,23,35.778808594,0.29296875,0.061,2931,5,23,69.23,11833,24,8192
2,Nicaragua,"DEN 1,2,3,4",2022,Out,23,1.238511544,0.022416499,0.000,221,0,23,266.25,6702,4,17844
3,Peru,"DEN 1,2",2022,Out,23,79.214051310,0.324038720,0.132,38380,64,23,145.24,33359,157,48451
6,Antigua and Barbuda,  ,2022,Out,23,0,0,0.000,0,0,23,4.04,99,0,4
3,Andean Subregion,  ,2022,In,23,69.500784082,0.795505291,0.097,66923,93,-,67.31,143051,766,96291
4,Southern Cone,  ,2022,In,23,55.870803337,0.066695266,0.047,1000217,838,-,618.35,289516,1194,1790232
6,Bahamas,  ,2022,Out,23,,,,,,-,,397,,
2,El Salvador,"DEN 1,2,3,4",2022,Out,23,0.995145631,0.097087379,0.000,82,0,23,126.40,6519,8,8240
6,Bermuda,  ,2022,Out,23,,,,0,0,23,0.00,72,0,0
3,Venezuela,"DEN 1,2,4",2022,Out,23,5.509099852,0.393507132,0.098,112,2,23,7.08,28705,8,2033
4,Brazil,"DEN 1,2,4",2022,Out,23,55.929777864,0.066096295,0.047,999346,838,23,834.97,213993,1181,1786787
6,Grenada,  ,2022,Out,23,68.840579710,2.898550725,0.000,95,0,23,121.05,114,4,138
4,Argentina,"DEN 1,2",2022,Out,23,100,0,0.000,732,0,21,1.61,45606,0,732
6,Barbados,  ,2022,Out,23,0,,0.000,0,0,21,4.97,302,,15
3,Colombia,"DEN 1,2,3,4",2022,Out,23,54.552275200,1.909442173,0.056,14542,15,23,52.00,51266,509,26657
5,Latin Caribbean,  ,2022,In,23,4.470672389,3.469241774,0.393,125,11,-,11.14,25099,97,2796
6,Guadeloupe,  ,2022,Out,23,,,,,,-,,400,,
6,Saint Lucia,  ,2022,Out,23,100,0,0.000,3,0,23,1.80,167,0,3
6,Saint Vincent and the Grenadines,  ,2022,Out,23,100,0,,12,,23,11.88,101,0,12
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,23,,,,,,-,,26,,
5,Dominican Republic,DEN 2,2022,Out,23,,4.200913242,0.502,,11,23,19.99,10954,92,2190
6,Turks and Caicos Islands,  ,2022,Out,23,,,,0,0,23,0.00,57,0,0
6,Jamaica,  ,2022,Out,23,0,0,0.000,0,0,23,1.04,2973,0,31
6,Martinique,  ,2022,Out,23,,,,,,-,,375,,
6,Suriname,  ,2022,Out,23,100,0,0.000,2,0,22,0.34,592,0,2
1,North America,  ,2022,In,23,100,0,0.000,81,0,-,0.02,332915,0,81
7,The Americas,  ,2022,In,23,55.214683129,0.117946717,0.049,1071087,958,-,195.40,992752,2288,1939859
6,Sint Maarten,  ,2022,Out,23,,,,,,-,,45,,
5,Cuba,"DEN 1,2",2022,Out,23,,0,0.000,,0,20,3.98,11317,0,450
6,Anguilla,  ,2022,Out,23,,,,,,-,,18,,
6,Dominica,  ,2022,Out,23,12.5,0,0.000,2,0,23,21.33,75,0,16
6,French Guiana,  ,2022,Out,23,,,,,,-,,306,,
2,Honduras,"DEN 1,2,4",2022,Out,23,,1.903984768,0.054,,4,23,73.07,10063,140,7353
2,Central America Ithsmus and Mexico,  ,2022,In,23,7.118867575,0.463602085,0.033,3455,16,-,26.70,181738,225,48533
6,Non-Latin Caribbean,  ,2022,In,23,14.849428868,0.311526480,0.000,286,0,-,9.43,20433,6,1926
3,Ecuador,  ,2022,Out,23,100,0.620551195,0.064,10958,7,23,61.26,17888,68,10958
