ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Curaçao,  ,2022,Out,37,,,,,,-,,152,,
1,Canada,  ,2022,Out,37,,,,0,0,37,,0,0,0
2,Mexico,"DEN 1,2,3,4",2022,Out,37,17.763801537,0.587002096,0.028,5084,8,37,21.97,130262,168,28620
6,Trinidad and Tobago,  ,2022,Out,37,7.894736842,0,,3,,36,2.71,1403,0,38
6,Virgin Islands (UK),  ,2022,Out,37,100,9.090909091,,22,,36,57.89,38,2,22
3,Ecuador,  ,2022,Out,37,100,0.714028128,0.108,13865,15,34,77.51,17888,99,13865
2,Guatemala,"DEN 1,2,3,4",2022,Out,37,21.341355512,0.353919660,0.142,1206,8,37,30.96,18250,20,5651
6,Cayman Islands,  ,2022,Out,37,0,0,,0,,32,3.17,63,0,2
6,Haiti,  ,2022,Out,37,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
4,Chile,  ,2022,Out,37,,,,0,0,8,0.00,19212,0,0
2,Costa Rica,"DEN 1,2,3,4",2022,Out,37,6.203043730,0,0.000,322,0,37,101.01,5139,0,5191
6,Montserrat,  ,2022,Out,37,0,0,,0,,36,80.00,5,0,4
2,Panama,"DEN 1,2",2022,Out,37,77.348434377,0.186542305,0.027,5805,2,37,170.65,4398,14,7505
6,Saint Kitts and Nevis,  ,2022,Out,37,0,0,0.000,0,0,32,1.85,54,0,1
6,Aruba,  ,2022,Out,37,33.333333333,0,0.000,2,0,36,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,37,4.966261808,0.458839406,0.000,184,0,37,51.32,7220,17,3705
6,Saint Martin,  ,2022,Out,37,0,0,0.000,0,0,27,75.76,33,0,25
6,Virgin Islands (US),  ,2022,Out,37,,,,0,0,37,0.00,106,0,0
4,Argentina,"DEN 1,2",2022,Out,37,100,0,0.000,815,0,36,1.79,45606,0,815
5,Puerto Rico,"DEN 1,2,3",2022,Out,37,82.847896440,3.236245955,0.000,256,0,37,10.93,2828,10,309
6,Guyana,  ,2022,Out,37,100,0,0.000,157,0,16,19.87,790,0,157
1,United States of America,  ,2022,Out,37,100,1.147227533,0.000,523,0,37,0.16,332915,6,523
4,Uruguay,  ,2022,Out,37,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
6,Antigua and Barbuda,  ,2022,Out,37,0,0,0.000,0,0,36,4.04,99,0,4
3,Bolivia,"DEN 1,2",2022,Out,37,30.907326541,0.368753033,0.068,3185,7,37,87.09,11833,38,10305
6,Saint Barthelemy,  ,2022,Out,37,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
2,Nicaragua,"DEN 1,2,3,4",2022,Out,37,3.197873008,0.020309817,0.000,1732,0,37,808.13,6702,11,54161
3,Peru,"DEN 1,2",2022,Out,37,75.368964522,0.329478100,0.131,44378,77,37,176.51,33359,194,58881
4,Southern Cone,  ,2022,In,37,52.077696282,0.062776079,0.042,1112465,898,-,737.84,289516,1341,2136164
6,Bahamas,  ,2022,Out,37,,,,,,-,,397,,
6,Grenada,  ,2022,Out,37,47.926267281,1.843317972,0.000,104,0,37,190.35,114,4,217
3,Venezuela,"DEN 1,2,3,4",2022,Out,37,,,,,,37,16.71,28705,,4798
4,Brazil,"DEN 1,2,3,4",2022,Out,37,52.141639086,0.062112530,0.042,1111459,898,37,996.11,213993,1324,2131615
2,El Salvador,"DEN 1,2,3,4",2022,Out,37,0.637335526,0.082236842,0.000,93,0,37,223.84,6519,12,14592
6,Bermuda,  ,2022,Out,37,,,,0,0,36,0.00,72,0,0
2,Belize,  ,2022,Out,37,100,0,0.000,207,0,36,51.11,405,0,207
6,Barbados,  ,2022,Out,37,0,,0.000,0,0,21,4.97,302,,15
3,Colombia,"DEN 1,2,3,4",2022,Out,37,61.331999489,1.947554383,0.070,28815,33,37,91.64,51266,915,46982
5,Latin Caribbean,  ,2022,In,37,36.769797833,2.267396403,0.369,3292,33,-,35.67,25099,203,8953
6,Saint Lucia,  ,2022,Out,37,100,0,0.000,15,0,37,8.98,167,0,15
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,37,,,,,,-,,26,,
6,Saint Vincent and the Grenadines,  ,2022,Out,37,100,0,,12,,32,11.88,101,0,12
6,Martinique,  ,2022,Out,37,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Jamaica,  ,2022,Out,37,0,0,0.000,0,0,37,1.95,2973,0,58
6,Turks and Caicos Islands,  ,2022,Out,37,,,,0,0,36,0.00,57,0,0
5,Dominican Republic,DEN 2,2022,Out,37,,3.120542083,0.571,,32,37,51.20,10954,175,5608
6,Guadeloupe,  ,2022,Out,37,0,0,0.000,0,0,27,60.00,400,0,240
6,Suriname,  ,2022,Out,37,100,0,0.000,2,0,22,0.34,592,0,2
2,Central America Ithsmus and Mexico,  ,2022,In,37,10.694328283,0.421881592,0.018,14449,24,-,74.34,181738,570,135109
1,North America,  ,2022,In,37,100,1.147227533,0.000,523,0,-,0.16,332915,6,523
6,Non-Latin Caribbean,  ,2022,In,37,7.426520081,0.134619699,0.000,331,0,-,21.81,20433,6,4457
2,Honduras,"DEN 1,2,4",2022,Out,37,,1.798561151,0.031,,6,37,190.62,10063,345,19182
7,The Americas,  ,2022,In,37,50.466294524,0.139336713,0.045,1221303,1087,-,243.77,992752,3372,2420037
6,Sint Maarten,  ,2022,Out,37,,,,,,-,,45,,
3,Andean Subregion,  ,2022,In,37,66.930453679,0.924119824,0.098,90243,132,-,94.25,143051,1246,134831
