ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Curaçao,  ,2022,Out,35,,,,,,-,,152,,
1,Canada,  ,2022,Out,35,,,,0,0,35,,0,0,0
2,Costa Rica,"DEN 1,2,3,4",2022,Out,35,5.190166001,0,0.000,247,0,35,92.61,5139,0,4759
6,Trinidad and Tobago,  ,2022,Out,35,8,0,,2,,34,1.78,1403,0,25
3,Ecuador,  ,2022,Out,35,100,0.714028128,0.108,13865,15,34,77.51,17888,99,13865
6,Cayman Islands,  ,2022,Out,35,0,0,,0,,32,3.17,63,0,2
6,Haiti,  ,2022,Out,35,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
6,Montserrat,  ,2022,Out,35,0,0,,0,,35,80.00,5,0,4
4,Chile,  ,2022,Out,35,,,,0,0,8,0.00,19212,0,0
2,Mexico,"DEN 1,2,3,4",2022,Out,35,16.269221281,0.587945070,0.033,3957,8,35,18.67,130262,143,24322
2,Panama,"DEN 1,2",2022,Out,35,78.253706755,0.179721432,0.015,5225,1,35,151.82,4398,12,6677
6,Saint Kitts and Nevis,  ,2022,Out,35,0,0,0.000,0,0,32,1.85,54,0,1
6,Aruba,  ,2022,Out,35,33.333333333,0,0.000,2,0,35,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,35,,,,,,-,,45,,
4,Paraguay,"DEN 1,2",2022,Out,35,5.068994649,0.478738384,0.000,180,0,35,49.18,7220,17,3551
6,Saint Martin,  ,2022,Out,35,0,0,0.000,0,0,27,75.76,33,0,25
6,Virgin Islands (US),  ,2022,Out,35,,,,0,0,35,0.00,106,0,0
2,Belize,  ,2022,Out,35,,,,0,0,16,0.00,405,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,35,60.807606315,1.946746765,0.065,26925,29,35,86.37,51266,862,44279
6,Guyana,  ,2022,Out,35,100,0,0.000,157,0,16,19.87,790,0,157
1,United States of America,  ,2022,Out,35,100,1.305483029,0.000,383,0,35,0.12,332915,5,383
4,Uruguay,  ,2022,Out,35,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
3,Bolivia,"DEN 1,2",2022,Out,35,31.391295688,0.378448362,0.070,3152,7,35,84.86,11833,38,10041
3,Peru,"DEN 1,2",2022,Out,35,76.037187277,0.339490590,0.131,43675,75,35,172.18,33359,195,57439
6,Saint Barthelemy,  ,2022,Out,35,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
2,Nicaragua,"DEN 1,2,3,4",2022,Out,35,3.152223277,0.016514595,0.000,1527,0,35,722.80,6702,8,48442
6,Antigua and Barbuda,  ,2022,Out,35,0,0,0.000,0,0,35,4.04,99,0,4
4,Southern Cone,  ,2022,In,35,52.431674935,0.063161002,0.042,1108220,891,-,730.06,289516,1335,2113646
6,Bahamas,  ,2022,Out,35,,,,,,-,,397,,
2,El Salvador,"DEN 1,2,3,4",2022,Out,35,0.664855591,0.085787818,0.000,93,0,35,214.57,6519,12,13988
4,Argentina,"DEN 1,2",2022,Out,35,100,0,0.000,815,0,34,1.79,45606,0,815
6,Bermuda,  ,2022,Out,35,,,,0,0,35,0.00,72,0,0
5,Puerto Rico,"DEN 1,2,3",2022,Out,35,80.842911877,3.831417625,0.000,211,0,35,9.23,2828,10,261
3,Venezuela,"DEN 1,2,3,4",2022,Out,35,18.127581459,0.252409362,0.115,790,5,35,15.18,28705,11,4358
4,Brazil,"DEN 1,2,3,4",2022,Out,35,52.493420650,0.062486636,0.042,1107218,891,35,985.66,213993,1318,2109251
6,Grenada,  ,2022,Out,35,50,1.923076923,0.000,104,0,35,182.46,114,4,208
6,Barbados,  ,2022,Out,35,0,,0.000,0,0,21,4.97,302,,15
5,Latin Caribbean,  ,2022,In,35,40.046867292,2.257030094,0.333,3247,27,-,32.30,25099,183,8108
6,Saint Lucia,  ,2022,Out,35,100,0,0.000,13,0,35,7.78,167,0,13
