ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Chile,  ,2022,Out,34,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,34,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,34,0,0,0.000,0,0,34,1.61,2973,0,48
6,Martinique,  ,2022,Out,34,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Saint Kitts and Nevis,  ,2022,Out,34,0,0,0.000,0,0,32,1.85,54,0,1
5,Dominican Republic,DEN 2,2022,Out,34,,3.392461197,0.554,,25,34,41.17,10954,153,4510
6,Turks and Caicos Islands,  ,2022,Out,34,,,,0,0,34,0.00,57,0,0
6,Aruba,  ,2022,Out,34,33.333333333,0,0.000,2,0,34,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,34,4.164738547,0.347061546,0.000,180,0,34,59.86,7220,15,4322
6,Saint Martin,  ,2022,Out,34,0,0,0.000,0,0,27,75.76,33,0,25
6,Guadeloupe,  ,2022,Out,34,0,0,0.000,0,0,27,60.00,400,0,240
2,Belize,  ,2022,Out,34,,,,0,0,16,0.00,405,0,0
6,Suriname,  ,2022,Out,34,100,0,0.000,2,0,22,0.34,592,0,2
3,Venezuela,"DEN 1,2,4",2022,Out,34,,,,,,34,14.47,28705,,4154
4,Argentina,"DEN 1,2",2022,Out,34,100,0,0.000,815,0,34,1.79,45606,0,815
6,Bermuda,  ,2022,Out,34,,,,0,0,34,0.00,72,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,34,59.367390951,1.957192218,0.067,25601,29,34,84.12,51266,844,43123
5,Puerto Rico,"DEN 1,2,3",2022,Out,34,83.050847458,3.813559322,0.000,196,0,34,8.35,2828,9,236
2,Central America Ithsmus and Mexico,  ,2022,In,34,9.848544643,0.438492638,0.020,11230,23,-,62.74,181738,500,114027
6,Non-Latin Caribbean,  ,2022,In,34,7.572950440,0.046317740,0.000,327,0,-,21.13,20433,2,4318
1,North America,  ,2022,In,34,100,0.955414013,0.000,314,0,-,0.09,332915,3,314
7,The Americas,  ,2022,In,34,51.199161593,0.135150278,0.045,1206199,1061,-,237.31,992752,3184,2355896
6,Anguilla,  ,2022,Out,34,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,34,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,34,67.074628031,0.915374702,0.097,85879,124,-,89.50,143051,1172,128035
6,Virgin Islands (UK),  ,2022,Out,34,100,9.523809524,,21,,32,55.26,38,2,21
6,Curaçao,  ,2022,Out,34,,,,,,-,,152,,
6,Trinidad and Tobago,  ,2022,Out,34,8,0,,2,,34,1.78,1403,0,25
6,Cayman Islands,  ,2022,Out,34,0,0,,0,,32,3.17,63,0,2
3,Ecuador,  ,2022,Out,34,100,0.714028128,0.108,13865,15,34,77.51,17888,99,13865
2,Guatemala,"DEN 1,2,3,4",2022,Out,34,24.091090691,0.379544547,0.160,1206,8,34,27.43,18250,19,5006
6,Haiti,  ,2022,Out,34,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
2,Mexico,"DEN 1,2,3,4",2022,Out,34,15.273556231,0.581083497,0.036,3417,8,34,17.17,130262,130,22372
2,Panama,"DEN 1,2",2022,Out,34,77.970968257,0.175466582,0.016,4888,1,34,142.54,4398,11,6269
1,Canada,  ,2022,Out,34,,,,0,0,34,,0,0,0
2,Costa Rica,"DEN 1,2,3,4",2022,Out,34,4.881295762,0.088750832,0.000,220,0,34,87.70,5139,4,4507
6,Montserrat,  ,2022,Out,34,0,0,,0,,34,80.00,5,0,4
5,Latin Caribbean,  ,2022,In,34,41.531739913,2.313030069,0.334,3232,26,-,31.01,25099,180,7782
6,Antigua and Barbuda,  ,2022,Out,34,0,0,0.000,0,0,34,4.04,99,0,4
6,Guyana,  ,2022,Out,34,100,0,0.000,157,0,16,19.87,790,0,157
3,Peru,"DEN 1,2",2022,Out,34,75.934017724,0.336930771,0.128,43271,73,34,170.82,33359,192,56985
4,Uruguay,  ,2022,Out,34,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
6,Saint Lucia,  ,2022,Out,34,100,0,0.000,13,0,34,7.78,167,0,13
6,Saint Barthelemy,  ,2022,Out,34,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
6,Saint Vincent and the Grenadines,  ,2022,Out,34,100,0,,12,,32,11.88,101,0,12
3,Bolivia,"DEN 1,2",2022,Out,34,31.711748082,0.373435608,0.071,3142,7,34,83.73,11833,37,9908
1,United States of America,  ,2022,Out,34,100,0.955414013,0.000,314,0,34,0.09,332915,3,314
2,Nicaragua,"DEN 1,2,3,4",2022,Out,34,3.119176502,0.017747804,0.000,1406,0,34,672.58,6702,8,45076
4,Southern Cone,  ,2022,In,34,52.593817514,0.063147776,0.042,1105217,888,-,725.84,289516,1327,2101420
6,Bahamas,  ,2022,Out,34,,,,,,-,,397,,
6,Grenada,  ,2022,Out,34,100,0,,104,,32,91.23,114,0,104
2,Honduras,"DEN 1,2,4",2022,Out,34,,1.843425505,0.035,,6,34,170.35,10063,316,17142
6,Virgin Islands (US),  ,2022,Out,34,,,,0,0,34,0.00,106,0,0
6,Sint Maarten,  ,2022,Out,34,,,,,,-,,45,,
5,Cuba,"DEN 1,2,3,4",2022,Out,34,100,0.592885375,0.033,3036,1,26,26.83,11317,18,3036
6,Dominica,  ,2022,Out,34,12.5,0,0.000,2,0,34,21.33,75,0,16
2,El Salvador,"DEN 1,2,3,4",2022,Out,34,0.681069205,0.087879897,0.000,93,0,34,209.46,6519,12,13655
6,Barbados,  ,2022,Out,34,0,,0.000,0,0,21,4.97,302,,15
4,Brazil,"DEN 1,2,3,4",2022,Out,34,52.675629957,0.062587835,0.042,1104215,888,34,979.59,213993,1312,2096254
