ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Chile,  ,2022,Out,27,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,27,,,,,,-,,26,,
6,Martinique,  ,2022,Out,27,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Saint Kitts and Nevis,  ,2022,Out,27,0,0,0.000,0,0,27,1.85,54,0,1
6,Jamaica,  ,2022,Out,27,0,0,0.000,0,0,27,1.24,2973,0,37
6,Turks and Caicos Islands,  ,2022,Out,27,,,,0,0,27,0.00,57,0,0
6,Aruba,  ,2022,Out,27,33.333333333,0,0.000,2,0,27,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,27,4.468535167,0.370174511,0.000,169,0,27,52.38,7220,14,3782
5,Dominican Republic,DEN 2,2022,Out,27,,3.878870364,0.476,,14,27,26.83,10954,114,2939
6,Guadeloupe,  ,2022,Out,27,0,0,0.000,0,0,27,60.00,400,0,240
6,Saint Martin,  ,2022,Out,27,0,0,0.000,0,0,27,75.76,33,0,25
2,Belize,  ,2022,Out,27,,,,0,0,16,0.00,405,0,0
6,Suriname,  ,2022,Out,27,100,0,0.000,2,0,22,0.34,592,0,2
3,Venezuela,"DEN 1,2,4",2022,Out,27,14.829881657,0.332840237,0.074,401,2,27,9.42,28705,9,2704
4,Argentina,"DEN 1,2",2022,Out,27,100,0,0.000,732,0,21,1.61,45606,0,732
6,Bermuda,  ,2022,Out,27,,,,0,0,27,0.00,72,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,27,55.705756798,1.893154329,0.059,18008,19,27,63.06,51266,612,32327
5,Puerto Rico,"DEN 1,2",2022,Out,27,81.176470588,4.117647059,0.000,138,0,27,6.01,2828,7,170
2,Central America Ithsmus and Mexico,  ,2022,In,27,8.490823644,0.482890444,0.024,5908,17,-,38.29,181738,336,69581
6,Non-Latin Caribbean,  ,2022,In,27,7.111111111,0.046783626,0.000,304,0,-,20.92,20433,2,4275
1,North America,  ,2022,In,27,100,0,0.000,104,0,-,0.03,332915,0,104
7,The Americas,  ,2022,In,27,53.395443339,0.124061496,0.047,1145281,998,-,216.06,992752,2661,2144904
6,Anguilla,  ,2022,Out,27,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,27,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,27,68.496229565,0.833899051,0.093,74665,101,-,76.20,143051,909,109006
3,Ecuador,  ,2022,Out,27,100,0.692766232,0.081,12414,10,27,69.40,17888,86,12414
6,Curaçao,  ,2022,Out,27,,,,,,-,,152,,
6,Cayman Islands,  ,2022,Out,27,0,0,,0,,27,3.17,63,0,2
2,Mexico,"DEN 1,2,3,4",2022,Out,27,13.907661663,0.519314221,0.036,1955,5,27,10.79,130262,73,14057
6,Virgin Islands (UK),  ,2022,Out,27,100,18.181818182,,11,,20,28.95,38,2,11
6,Haiti,  ,2022,Out,27,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
2,Guatemala,"DEN 1,2,3,4",2022,Out,27,28.886844526,0.490647041,0.215,942,7,27,17.87,18250,16,3261
6,Trinidad and Tobago,  ,2022,Out,27,6.25,0,,1,,20,1.14,1403,0,16
1,Canada,  ,2022,Out,27,,,,0,0,27,,0,0,0
2,Costa Rica,"DEN 1,2",2022,Out,27,5.035700864,0.075159714,0.000,134,0,27,51.78,5139,2,2661
6,Montserrat,  ,2022,Out,27,0,0,,0,,20,60.00,5,0,3
2,Panama,"DEN 1,2",2022,Out,27,79.938692098,0.272479564,0.034,2347,1,27,66.76,4398,8,2936
5,Latin Caribbean,  ,2022,In,27,51.651749390,2.262001627,0.244,3174,15,-,24.48,25099,139,6145
6,Antigua and Barbuda,  ,2022,Out,27,0,0,0.000,0,0,27,4.04,99,0,4
6,Guyana,  ,2022,Out,27,100,0,0.000,157,0,16,19.87,790,0,157
3,Peru,"DEN 1,2",2022,Out,27,77.492022489,0.324798663,0.123,40798,65,27,157.82,33359,171,52648
