ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Guadeloupe,  ,2022,Out,22,,,,,,-,,400,,
4,Chile,  ,2022,Out,22,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,22,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,22,0,0,0.000,0,0,22,0.94,2973,0,28
6,Turks and Caicos Islands,  ,2022,Out,22,,,,0,0,22,0.00,57,0,0
6,Aruba,  ,2022,Out,22,33.333333333,0,0.000,2,0,22,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,22,,,,,,-,,45,,
6,Martinique,  ,2022,Out,22,,,,,,-,,375,,
4,Paraguay,"DEN 1,2",2022,Out,22,4.583462372,0.402601425,0.000,148,0,22,44.72,7220,13,3229
6,Saint Kitts and Nevis,  ,2022,Out,22,0,0,0.000,0,0,22,1.85,54,0,1
6,Saint Martin,  ,2022,Out,22,,,,,,-,,33,,
2,Belize,  ,2022,Out,22,,,,0,0,16,0.00,405,0,0
6,Suriname,  ,2022,Out,22,100,0,0.000,2,0,22,0.34,592,0,2
5,Dominican Republic,DEN 2,2022,Out,22,,4.476143630,0.492,,10,22,18.56,10954,91,2033
4,Argentina,"DEN 1,2",2022,Out,22,100,0,0.000,732,0,21,1.61,45606,0,732
6,Bermuda,  ,2022,Out,22,,,,0,0,22,0.00,72,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,22,52.731676328,1.838322878,0.060,13281,15,22,49.13,51266,463,25186
5,Puerto Rico,"DEN 1,2",2022,Out,22,80.132450331,3.311258278,0.000,121,0,22,5.34,2828,5,151
3,Venezuela,"DEN 1,2,4",2022,Out,22,5.596620908,0.422386484,0.106,106,2,22,6.60,28705,8,1894
2,Central America Ithsmus and Mexico,  ,2022,In,22,6.892313295,0.475724399,0.036,3028,16,-,24.17,181738,209,43933
1,North America,  ,2022,In,22,100,0,0.000,80,0,-,0.02,332915,0,80
7,The Americas,  ,2022,In,22,55.730458394,0.112834602,0.050,1042650,932,-,188.45,992752,2111,1870880
6,Anguilla,  ,2022,Out,22,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,22,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,22,69.353845489,0.703304776,0.092,64196,85,-,64.71,143051,651,92563
6,Non-Latin Caribbean,  ,2022,In,22,15.212765957,0.106382979,0.000,286,0,-,9.20,20433,2,1880
6,Curaçao,  ,2022,Out,22,,,,,,-,,152,,
6,Cayman Islands,  ,2022,Out,22,0,0,,0,,22,3.17,63,0,2
6,Virgin Islands (UK),  ,2022,Out,22,100,18.181818182,,11,,20,28.95,38,2,11
3,Ecuador,  ,2022,Out,22,100,,,10503,,22,58.72,17888,,10503
2,Guatemala,"DEN 1,2,3,4",2022,Out,22,28.534966820,0.765696784,0.306,559,6,22,10.73,18250,15,1959
2,Mexico,"DEN 1,2,3,4",2022,Out,22,12.873265930,0.587820362,0.059,1095,5,22,6.53,130262,50,8506
2,Panama,"DEN 1,2",2022,Out,22,79.632587859,0.319488818,0.080,997,1,22,28.47,4398,4,1252
6,Trinidad and Tobago,  ,2022,Out,22,6.25,0,,1,,20,1.14,1403,0,16
1,Canada,  ,2022,Out,22,,,,0,0,22,,0,0,0
2,Costa Rica,"DEN 1,2",2022,Out,22,5.979255644,0.122025625,0.000,98,0,22,31.89,5139,2,1639
6,Haiti,  ,2022,Out,22,0.066269052,0,0.000,1,0,13,13.07,11542,0,1509
6,Montserrat,  ,2022,Out,22,0,0,,0,,20,60.00,5,0,3
6,Saint Barthelemy,  ,2022,Out,22,,,,,,-,,7,,
5,Latin Caribbean,  ,2022,In,22,4.593773728,3.644646925,0.380,121,10,-,10.49,25099,96,2634
6,Guyana,  ,2022,Out,22,100,0,0.000,157,0,16,19.87,790,0,157
