ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Guadeloupe,  ,2022,Out,26,,,,,,-,,400,,
4,Chile,  ,2022,Out,26,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,26,,,,,,-,,26,,
6,Aruba,  ,2022,Out,26,33.333333333,0,0.000,2,0,26,4.96,121,0,6
6,Martinique,  ,2022,Out,26,,,,,,-,,375,,
4,Paraguay,"DEN 1,2",2022,Out,26,4.489795918,0.353741497,0.000,165,0,26,50.90,7220,13,3675
6,Saint Kitts and Nevis,  ,2022,Out,26,0,0,0.000,0,0,26,1.85,54,0,1
6,Saint Martin,  ,2022,Out,26,,,,,,-,,33,,
6,Saint Vincent and the Grenadines,  ,2022,Out,26,100,0,,12,,26,11.88,101,0,12
6,Jamaica,  ,2022,Out,26,0,0,0.000,0,0,26,1.21,2973,0,36
6,Turks and Caicos Islands,  ,2022,Out,26,,,,0,0,26,0.00,57,0,0
6,Virgin Islands (US),  ,2022,Out,26,,,,0,0,26,0.00,106,0,0
2,Belize,  ,2022,Out,26,,,,0,0,16,0.00,405,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,26,55.708655005,1.886054920,0.062,17102,19,26,59.88,51266,579,30699
6,Suriname,  ,2022,Out,26,100,0,0.000,2,0,22,0.34,592,0,2
5,Dominican Republic,DEN 2,2022,Out,26,,4.121079504,0.511,,14,26,25.03,10954,113,2742
4,Argentina,"DEN 1,2",2022,Out,26,100,0,0.000,732,0,21,1.61,45606,0,732
6,Bermuda,  ,2022,Out,26,,,,0,0,26,0.00,72,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,26,80.606060606,3.030303030,0.000,133,0,26,5.83,2828,5,165
3,Venezuela,"DEN 1,2,4",2022,Out,26,15.166994106,0.353634578,0.118,386,3,26,8.87,28705,9,2545
2,Central America Ithsmus and Mexico,  ,2022,In,26,8.188666885,0.480401791,0.027,5250,17,-,35.28,181738,308,64113
1,North America,  ,2022,In,26,100,0,0.000,99,0,-,0.03,332915,0,99
6,Non-Latin Caribbean,  ,2022,In,26,7.817149040,0.054097917,0.000,289,0,-,18.09,20433,2,3697
7,The Americas,  ,2022,In,26,53.806037356,0.122390407,0.047,1131598,996,-,211.85,992752,2574,2103106
6,Anguilla,  ,2022,Out,26,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,26,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,26,68.880550462,0.819455209,0.096,72877,102,-,73.96,143051,867,105802
2,Guatemala,"DEN 1,2,3,4",2022,Out,26,28.962108731,0.527182867,0.231,879,7,26,16.63,18250,16,3035
6,Curaçao,  ,2022,Out,26,,,,,,-,,152,,
2,Costa Rica,"DEN 1,2",2022,Out,26,5.016313214,0.081566069,0.000,123,0,26,47.71,5139,2,2452
2,Panama,"DEN 1,2",2022,Out,26,79.826292933,0.276352152,0.039,2022,1,26,57.59,4398,7,2533
6,Virgin Islands (UK),  ,2022,Out,26,100,18.181818182,,11,,20,28.95,38,2,11
3,Ecuador,  ,2022,Out,26,100,0.679651886,0.083,12065,10,26,67.45,17888,82,12065
6,Haiti,  ,2022,Out,26,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
6,Trinidad and Tobago,  ,2022,Out,26,6.25,0,,1,,20,1.14,1403,0,16
6,Cayman Islands,  ,2022,Out,26,0,0,,0,,26,3.17,63,0,2
2,Mexico,"DEN 1,2,3,4",2022,Out,26,13.845195452,0.529512537,0.039,1778,5,26,9.86,130262,68,12842
6,Montserrat,  ,2022,Out,26,0,0,,0,,20,60.00,5,0,3
1,Canada,  ,2022,Out,26,,,,0,0,26,,0,0,0
5,Latin Caribbean,  ,2022,In,26,53.323237422,2.288406529,0.252,3169,15,-,23.68,25099,136,5943
6,Saint Barthelemy,  ,2022,Out,26,,,,,,-,,7,,
6,Guyana,  ,2022,Out,26,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,26,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
6,Saint Lucia,  ,2022,Out,26,100,0,0.000,5,0,26,2.99,167,0,5
3,Peru,"DEN 1,2",2022,Out,26,77.821116861,0.322468526,0.126,40302,65,26,155.24,33359,167,51788
1,United States of America,  ,2022,Out,26,100,0,0.000,99,0,26,0.03,332915,0,99
