ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Guadeloupe,  ,2022,Out,17,,,,,,-,,400,,
4,Chile,  ,2022,Out,17,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,17,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,17,0,0,0.000,0,0,17,0.30,2973,0,9
6,Saint Kitts and Nevis,  ,2022,Out,17,0,0,0.000,0,0,17,1.85,54,0,1
6,Suriname,  ,2022,Out,17,100,0,0.000,2,0,17,0.34,592,0,2
6,Turks and Caicos Islands,  ,2022,Out,17,,,,0,0,17,0.00,57,0,0
6,Aruba,  ,2022,Out,17,100,0,0.000,2,0,16,1.65,121,0,2
6,Sint Maarten,  ,2022,Out,17,,,,,,-,,45,,
6,Martinique,  ,2022,Out,17,,,,,,-,,375,,
4,Paraguay,"DEN 1,2",2022,Out,17,2.700617284,0,0.000,70,0,17,35.90,7220,0,2592
6,Saint Martin,  ,2022,Out,17,,,,,,-,,33,,
4,Argentina,"DEN 1,2",2022,Out,17,100,0,0.000,392,0,17,0.86,45606,0,392
2,Belize,  ,2022,Out,17,,,,0,0,16,0.00,405,0,0
5,Dominican Republic,DEN 2,2022,Out,17,,5.384063173,0.574,,8,17,12.72,10954,75,1393
3,Colombia,"DEN 1,2,3,4",2022,Out,17,54.087722348,1.935222203,0.064,9335,11,17,33.67,51266,334,17259
6,Bermuda,  ,2022,Out,17,,,,0,0,17,0.00,72,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,17,84,8,0.000,105,0,17,4.42,2828,10,125
3,Venezuela,"DEN 2,4",2022,Out,17,4.210526316,0.451127820,0.150,56,2,17,4.63,28705,6,1330
7,The Americas,  ,2022,In,17,58.087810717,0.117047618,0.054,743420,696,-,128.92,992752,1498,1279821
6,Anguilla,  ,2022,Out,17,,,,,,-,,18,,
3,Andean Subregion,  ,2022,In,17,71.486310495,0.781402033,0.105,47755,70,-,46.70,143051,522,66803
6,French Guiana,  ,2022,Out,17,,,,,,-,,306,,
2,Central America Ithsmus and Mexico,  ,2022,In,17,5.941949617,0.513417306,0.031,1736,9,-,16.08,181738,150,29216
1,North America,  ,2022,In,17,100,0,0.000,57,0,-,0.02,332915,0,57
6,Non-Latin Caribbean,  ,2022,In,17,15.434782609,0.108695652,0.000,284,0,-,9.01,20433,2,1840
6,Curaçao,  ,2022,Out,17,,,,,,-,,152,,
2,Guatemala,"DEN 1,2,3,4",2022,Out,17,26.246472248,0.846660395,0.282,279,3,17,5.82,18250,9,1063
6,Cayman Islands,  ,2022,Out,17,0,0,,0,,17,3.17,63,0,2
6,Virgin Islands (UK),  ,2022,Out,17,100,18.181818182,,11,,17,28.95,38,2,11
