ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Chile,  ,2022,Out,35,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,35,,,,,,-,,26,,
5,Dominican Republic,DEN 2,2022,Out,35,,3.221783413,0.540,,26,35,43.92,10954,155,4811
6,Martinique,  ,2022,Out,35,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Turks and Caicos Islands,  ,2022,Out,35,,,,0,0,35,0.00,57,0,0
6,Saint Kitts and Nevis,  ,2022,Out,35,0,0,0.000,0,0,32,1.85,54,0,1
6,Jamaica,  ,2022,Out,35,0,0,0.000,0,0,35,1.78,2973,0,53
6,Aruba,  ,2022,Out,35,33.333333333,0,0.000,2,0,35,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,35,4.101161996,0.387331966,0.000,180,0,35,60.79,7220,17,4389
6,Saint Martin,  ,2022,Out,35,0,0,0.000,0,0,27,75.76,33,0,25
6,Guadeloupe,  ,2022,Out,35,0,0,0.000,0,0,27,60.00,400,0,240
6,Virgin Islands (US),  ,2022,Out,35,,,,0,0,35,0.00,106,0,0
2,Belize,  ,2022,Out,35,,,,0,0,16,0.00,405,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,35,60.807606315,1.946746765,0.065,26925,29,35,86.37,51266,862,44279
6,Suriname,  ,2022,Out,35,100,0,0.000,2,0,22,0.34,592,0,2
4,Argentina,"DEN 1,2",2022,Out,35,100,0,0.000,815,0,34,1.79,45606,0,815
6,Bermuda,  ,2022,Out,35,,,,0,0,35,0.00,72,0,0
5,Puerto Rico,"DEN 1,2,3",2022,Out,35,80.842911877,3.831417625,0.000,211,0,35,9.23,2828,10,261
2,Central America Ithsmus and Mexico,  ,2022,In,35,10.093203563,0.437974266,0.019,12237,23,-,66.71,181738,531,121240
6,Non-Latin Caribbean,  ,2022,In,35,7.564191534,0.046264168,0.000,327,0,-,21.16,20433,2,4323
1,North America,  ,2022,In,35,100,1.305483029,0.000,383,0,-,0.12,332915,5,383
7,The Americas,  ,2022,In,35,50.983154452,0.137093418,0.045,1212721,1072,-,239.60,992752,3261,2378670
6,Anguilla,  ,2022,Out,35,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,35,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,35,67.859557987,0.925982848,0.101,88307,131,-,90.97,143051,1205,130132
6,Virgin Islands (UK),  ,2022,Out,35,100,9.523809524,,21,,32,55.26,38,2,21
2,Guatemala,"DEN 1,2,3,4",2022,Out,35,23.156682028,0.364823349,0.154,1206,8,35,28.54,18250,19,5208
3,Venezuela,"DEN 1,2,3,4",2022,Out,35,18.127581459,0.252409362,0.115,790,5,35,15.18,28705,11,4358
6,Curaçao,  ,2022,Out,35,,,,,,-,,152,,
1,Canada,  ,2022,Out,35,,,,0,0,35,,0,0,0
2,Costa Rica,"DEN 1,2,3,4",2022,Out,35,5.184718724,0.083963056,0.000,247,0,35,92.70,5139,4,4764
6,Trinidad and Tobago,  ,2022,Out,35,8,0,,2,,34,1.78,1403,0,25
6,Cayman Islands,  ,2022,Out,35,0,0,,0,,32,3.17,63,0,2
