ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Chile,  ,2022,Out,29,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,29,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,29,0,0,0.000,0,0,29,1.35,2973,0,40
6,Martinique,  ,2022,Out,29,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Turks and Caicos Islands,  ,2022,Out,29,,,,0,0,29,0.00,57,0,0
6,Aruba,  ,2022,Out,29,33.333333333,0,0.000,2,0,29,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,29,4.394208788,0.355600711,0.000,173,0,29,54.53,7220,14,3937
6,Saint Kitts and Nevis,  ,2022,Out,29,0,0,0.000,0,0,29,1.85,54,0,1
6,Guadeloupe,  ,2022,Out,29,0,0,0.000,0,0,27,60.00,400,0,240
6,Saint Martin,  ,2022,Out,29,0,0,0.000,0,0,27,75.76,33,0,25
2,Belize,  ,2022,Out,29,,,,0,0,16,0.00,405,0,0
6,Suriname,  ,2022,Out,29,100,0,0.000,2,0,22,0.34,592,0,2
5,Dominican Republic,DEN 2,2022,Out,29,,3.733333333,0.444,,15,29,30.81,10954,126,3375
4,Argentina,"DEN 1,2",2022,Out,29,100,0,0.000,732,0,21,1.61,45606,0,732
6,Bermuda,  ,2022,Out,29,,,,0,0,29,0.00,72,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,29,56.739873382,1.862849459,0.059,20255,21,29,69.63,51266,665,35698
5,Puerto Rico,"DEN 1,2",2022,Out,29,81.818181818,3.977272727,0.000,144,0,29,6.22,2828,7,176
3,Venezuela,"DEN 1,2,4",2022,Out,29,,,,,,29,10.79,28705,,3096
6,Non-Latin Caribbean,  ,2022,In,29,7.301142990,0.046652671,0.000,313,0,-,20.98,20433,2,4287
1,North America,  ,2022,In,29,100,0,0.000,155,0,-,0.05,332915,0,155
7,The Americas,  ,2022,In,29,52.692300228,0.125235861,0.045,1167566,1000,-,223.20,992752,2775,2215819
6,Anguilla,  ,2022,Out,29,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,29,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,29,67.610398397,0.832704468,0.080,77946,92,-,80.59,143051,960,115287
2,Central America Ithsmus and Mexico,  ,2022,In,29,9.154063156,0.459815825,0.020,7366,16,-,44.28,181738,370,80467
6,Curaçao,  ,2022,Out,29,,,,,,-,,152,,
6,Cayman Islands,  ,2022,Out,29,0,0,,0,,29,3.17,63,0,2
2,Guatemala,"DEN 1,2,3,4",2022,Out,29,28.115100317,0.448785639,0.185,1065,7,29,20.76,18250,17,3788
6,Virgin Islands (UK),  ,2022,Out,29,100,18.181818182,,11,,20,28.95,38,2,11
3,Ecuador,  ,2022,Out,29,100,0.684246944,,13007,,29,72.71,17888,89,13007
2,Costa Rica,"DEN 1,2",2022,Out,29,4.974651458,0.063371356,0.000,157,0,29,61.41,5139,2,3156
6,Haiti,  ,2022,Out,29,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
2,Mexico,"DEN 1,2,3,4",2022,Out,29,14.139745472,0.513950073,0.049,2311,8,29,12.55,130262,84,16344
2,Panama,"DEN 1,2",2022,Out,29,79.852515144,0.237029234,0.026,3032,1,29,86.33,4398,9,3797
