ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Chile,  ,2022,Out,39,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,39,,,,,,-,,26,,
6,Martinique,  ,2022,Out,39,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Saint Kitts and Nevis,  ,2022,Out,39,0,0,0.000,0,0,32,1.85,54,0,1
5,Dominican Republic,DEN 2,2022,Out,39,,3.083626613,0.570,,34,38,54.47,10954,184,5967
6,Turks and Caicos Islands,  ,2022,Out,39,,,,0,0,36,0.00,57,0,0
6,Aruba,  ,2022,Out,39,33.333333333,0,0.000,2,0,36,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,39,3.905597327,0.355054302,0.000,187,0,39,66.32,7220,17,4788
6,Saint Martin,  ,2022,Out,39,0,0,0.000,0,0,27,75.76,33,0,25
6,Guadeloupe,  ,2022,Out,39,0,0,0.000,0,0,27,60.00,400,0,240
6,Jamaica,  ,2022,Out,39,0,0,0.000,0,0,38,1.98,2973,0,59
4,Argentina,"DEN 1,2",2022,Out,39,100,0,0.000,815,0,36,1.79,45606,0,815
6,Suriname,  ,2022,Out,39,100,0,0.000,2,0,22,0.34,592,0,2
6,Bermuda,  ,2022,Out,39,,,,0,0,36,0.00,72,0,0
2,Belize,  ,2022,Out,39,100,0,0.000,207,0,36,51.11,405,0,207
3,Colombia,"DEN 1,2,3,4",2022,Out,39,63.104904190,1.958834037,0.067,31088,33,39,96.09,51266,965,49264
5,Puerto Rico,"DEN 1,2,3",2022,Out,39,83.861671470,4.034582133,0.000,291,0,39,12.27,2828,14,347
3,Venezuela,"DEN 1,2,3,4",2022,Out,39,21.619449468,0.301386377,0.181,1076,9,38,17.34,28705,15,4977
1,North America,  ,2022,In,39,100,1.153212521,0.000,607,0,-,0.18,332915,7,607
6,Non-Latin Caribbean,  ,2022,In,39,7.617951669,0.046029919,0.000,331,0,-,21.26,20433,2,4345
7,The Americas,  ,2022,In,39,50.306908893,0.143617623,0.045,1227394,1105,-,245.76,992752,3504,2439812
6,Anguilla,  ,2022,Out,39,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,39,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,39,67.639531875,0.943870949,0.101,94092,140,-,97.24,143051,1313,139108
2,Central America Ithsmus and Mexico,  ,2022,In,39,11.108578325,0.419027186,0.021,16569,32,-,82.07,181738,625,149155
