ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Guadeloupe,  ,2022,Out,25,,,,,,-,,400,,
4,Chile,  ,2022,Out,25,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,25,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,25,0,0,0.000,0,0,24,1.04,2973,0,31
6,Turks and Caicos Islands,  ,2022,Out,25,,,,0,0,25,0.00,57,0,0
6,Aruba,  ,2022,Out,25,33.333333333,0,0.000,2,0,25,4.96,121,0,6
6,Martinique,  ,2022,Out,25,,,,,,-,,375,,
4,Paraguay,"DEN 1,2",2022,Out,25,3.824521935,0.365579303,0.000,136,0,25,49.25,7220,13,3556
6,Saint Kitts and Nevis,  ,2022,Out,25,0,0,0.000,0,0,25,1.85,54,0,1
5,Dominican Republic,DEN 2,2022,Out,25,,3.797468354,0.475,,12,25,23.08,10954,96,2528
6,Saint Martin,  ,2022,Out,25,,,,,,-,,33,,
6,Bermuda,  ,2022,Out,25,,,,0,0,25,0.00,72,0,0
2,Belize,  ,2022,Out,25,,,,0,0,16,0.00,405,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,25,80.368098160,3.067484663,0.000,131,0,25,5.76,2828,5,163
6,Suriname,  ,2022,Out,25,100,0,0.000,2,0,22,0.34,592,0,2
3,Venezuela,"DEN 1,2,4",2022,Out,25,,,,,,25,8.25,28705,,2368
4,Argentina,"DEN 1,2",2022,Out,25,100,0,0.000,732,0,21,1.61,45606,0,732
3,Colombia,"DEN 1,2,3,4",2022,Out,25,55.575911790,1.896522477,0.064,16381,19,25,57.49,51266,559,29475
6,Non-Latin Caribbean,  ,2022,In,25,15.278514589,0.106100796,0.000,288,0,-,9.23,20433,2,1885
7,The Americas,  ,2022,In,25,54.215386355,0.116547049,0.047,1112246,974,-,206.65,992752,2391,2051532
6,Anguilla,  ,2022,Out,25,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,25,,,,,,-,,306,,
3,Andean Subregion,  ,2022,In,25,68.797178747,0.732515326,0.085,70815,88,-,71.96,143051,754,102933
1,North America,  ,2022,In,25,100,0,0.000,89,0,-,0.03,332915,0,89
