ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Chile,  ,2022,Out,42,,,,0,0,8,0.00,19212,0,0
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,42,,,,,,-,,26,,
6,Martinique,  ,2022,Out,42,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Saint Kitts and Nevis,  ,2022,Out,42,0,0,0.000,0,0,32,1.85,54,0,1
5,Dominican Republic,DEN 2,2022,Out,42,,3.083626613,0.570,,34,38,54.47,10954,184,5967
6,Turks and Caicos Islands,  ,2022,Out,42,,,,0,0,36,0.00,57,0,0
6,Aruba,  ,2022,Out,42,33.333333333,0,0.000,2,0,36,4.96,121,0,6
4,Paraguay,"DEN 1,2",2022,Out,42,3.839835729,0.369609856,0.000,187,0,40,67.45,7220,18,4870
6,Saint Martin,  ,2022,Out,42,0,0,0.000,0,0,27,75.76,33,0,25
6,Guadeloupe,  ,2022,Out,42,0,0,0.000,0,0,27,60.00,400,0,240
6,Jamaica,  ,2022,Out,42,0,0,0.000,0,0,38,1.98,2973,0,59
4,Argentina,"DEN 1,2",2022,Out,42,100,0,0.000,815,0,36,1.79,45606,0,815
3,Colombia,"DEN 1,2,3,4",2022,Out,42,63.318734217,1.990609217,0.071,32095,36,40,98.87,51266,1009,50688
6,Suriname,  ,2022,Out,42,100,0,0.000,2,0,22,0.34,592,0,2
6,Bermuda,  ,2022,Out,42,,,,0,0,36,0.00,72,0,0
2,Belize,  ,2022,Out,42,100,0,0.000,207,0,36,51.11,405,0,207
3,Venezuela,"DEN 1,2,3,4",2022,Out,42,21.619449468,0.301386377,0.181,1076,9,38,17.34,28705,15,4977
6,Non-Latin Caribbean,  ,2022,In,42,7.617951669,0.046029919,0.000,331,0,-,21.26,20433,2,4345
1,North America,  ,2022,In,42,100,1.455604076,0.000,687,0,-,0.21,332915,10,687
7,The Americas,  ,2022,In,42,50.177520344,0.146315596,0.045,1230127,1108,-,246.94,992752,3587,2451550
6,Anguilla,  ,2022,Out,42,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,42,,,,,,-,,306,,
2,Central America Ithsmus and Mexico,  ,2022,In,42,11.239123837,0.414811817,0.020,17774,32,-,87.02,181738,656,158144
3,Andean Subregion,  ,2022,In,42,67.416674315,0.960866404,0.101,95491,143,-,99.02,143051,1361,141643
5,Puerto Rico,"DEN 1,2,3",2022,Out,42,85.213032581,3.508771930,0.000,340,0,40,14.11,2828,14,399
6,Curaçao,  ,2022,Out,42,,,,,,-,,152,,
2,Panama,"DEN 1,2",2022,Out,42,74.652368607,0.176761725,0.035,6335,3,40,192.95,4398,15,8486
6,Trinidad and Tobago,  ,2022,Out,42,7.894736842,0,,3,,36,2.71,1403,0,38
6,Virgin Islands (UK),  ,2022,Out,42,100,9.090909091,,22,,36,57.89,38,2,22
1,Canada,  ,2022,Out,42,,,,0,0,40,,0,0,0
6,Cayman Islands,  ,2022,Out,42,0,0,,0,,32,3.17,63,0,2
3,Ecuador,  ,2022,Out,42,100,0.714028128,0.108,13865,15,34,77.51,17888,99,13865
2,Guatemala,"DEN 1,2,3,4",2022,Out,42,19.757536042,0.327653997,0.131,1206,8,39,33.45,18250,20,6104
6,Haiti,  ,2022,Out,42,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
2,Costa Rica,"DEN 1,2,3,4",2022,Out,42,6.721461187,0.091324201,0.000,368,0,39,106.54,5139,5,5475
2,Mexico,"DEN 1,2,3,4",2022,Out,42,18.799761686,0.612034881,0.038,6942,14,40,28.35,130262,226,36926
6,Montserrat,  ,2022,Out,42,0,0,,0,,36,80.00,5,0,4
5,Latin Caribbean,  ,2022,In,42,35.907253776,2.297383535,0.372,3376,35,-,37.46,25099,216,9402
6,Guyana,  ,2022,Out,42,100,0,0.000,157,0,16,19.87,790,0,157
3,Peru,"DEN 1,2",2022,Out,42,73.383370889,0.322596333,0.123,45268,76,41,184.92,33359,199,61687
4,Uruguay,  ,2022,Out,42,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
6,Saint Lucia,  ,2022,Out,42,100,0,0.000,15,0,41,8.98,167,0,15
6,Saint Barthelemy,  ,2022,Out,42,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
1,United States of America,  ,2022,Out,42,100,1.455604076,0.000,687,0,40,0.21,332915,10,687
6,Saint Vincent and the Grenadines,  ,2022,Out,42,100,0,,12,,32,11.88,101,0,12
2,Nicaragua,"DEN 1,2,3,4",2022,Out,42,3.961488468,0.031740274,0.000,2621,0,41,987.20,6702,21,66162
6,Antigua and Barbuda,  ,2022,Out,42,0,0,0.000,0,0,36,4.04,99,0,4
3,Bolivia,"DEN 1,2",2022,Out,42,30.567811241,0.374064838,0.067,3187,7,38,88.11,11833,39,10426
4,Southern Cone,  ,2022,In,42,52.049450506,0.062788649,0.042,1112468,898,-,738.24,289516,1342,2137329
6,Bahamas,  ,2022,Out,42,,,,,,-,,397,,
6,Grenada,  ,2022,Out,42,100,0,,104,,32,91.23,114,0,104
2,Honduras,"DEN 1,2,4",2022,Out,42,,1.804670913,0.035,,7,38,196.58,10063,357,19782
6,Virgin Islands (US),  ,2022,Out,42,,,,0,0,40,0.00,106,0,0
6,Sint Maarten,  ,2022,Out,42,,,,,,-,,45,,
5,Cuba,"DEN 1,2,3,4",2022,Out,42,100,0.592885375,0.033,3036,1,26,26.83,11317,18,3036
6,Dominica,  ,2022,Out,42,12.5,0,0.000,2,0,36,21.33,75,0,16
