ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Guyana,  ,2022,Out,30,100,0,0.000,157,0,16,19.87,790,0,157
1,United States of America,  ,2022,Out,30,100,0,0.000,185,0,30,0.06,332915,0,185
4,Uruguay,  ,2022,Out,30,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
4,Chile,  ,2022,Out,30,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,30,13.565891473,1.162790698,0.000,175,0,30,17.87,7220,15,1290
6,Saint Kitts and Nevis,  ,2022,Out,30,0,0,0.000,0,0,30,1.85,54,0,1
6,Saint Martin,  ,2022,Out,30,0,0,0.000,0,0,27,75.76,33,0,25
6,Saint Barthelemy,  ,2022,Out,30,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
2,Nicaragua,"DEN 1,2,3,4",2022,Out,30,2.941547784,0.018937003,0.000,932,0,30,472.75,6702,6,31684
6,Antigua and Barbuda,  ,2022,Out,30,0,0,0.000,0,0,30,4.04,99,0,4
3,Peru,"DEN 1,2",2022,Out,30,76.891780445,0.318885733,0.125,41956,68,30,163.57,33359,174,54565
6,Aruba,  ,2022,Out,30,33.333333333,0,0.000,2,0,30,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,30,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,30,100,0,,12,,30,11.88,101,0,12
3,Bolivia,"DEN 1,2",2022,Out,30,32.618796199,0.348468849,0.074,3089,7,30,80.03,11833,33,9470
6,Bermuda,  ,2022,Out,30,,,,0,0,30,0.00,72,0,0
2,Belize,  ,2022,Out,30,,,,0,0,16,0.00,405,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,30,82.417582418,4.395604396,0.000,150,0,30,6.44,2828,8,182
4,Southern Cone,  ,2022,In,30,54.120846357,0.064782764,0.044,1102755,904,-,703.79,289516,1320,2037579
6,Bahamas,  ,2022,Out,30,,,,,,-,,397,,
6,Grenada,  ,2022,Out,30,60.465116279,2.325581395,0.000,104,0,30,150.88,114,4,172
3,Venezuela,"DEN 1,2,4",2022,Out,30,17.078377554,0.304971028,0.091,560,3,30,11.42,28705,10,3279
4,Brazil,"DEN 1,2,3,4",2022,Out,30,54.128628320,0.064113713,0.044,1101759,904,30,951.17,213993,1305,2035446
2,El Salvador,"DEN 1,2,3,4",2022,Out,30,0.760688992,0.087435516,0.000,87,0,29,175.44,6519,10,11437
6,Barbados,  ,2022,Out,30,0,,0.000,0,0,21,4.97,302,,15
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,30,,,,,,-,,26,,
5,Dominican Republic,DEN 2,2022,Out,30,,3.637381086,0.504,,18,30,32.63,10954,130,3574
6,Martinique,  ,2022,Out,30,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Jamaica,  ,2022,Out,30,0,0,0.000,0,0,30,1.35,2973,0,40
6,Turks and Caicos Islands,  ,2022,Out,30,,,,0,0,30,0.00,57,0,0
6,Guadeloupe,  ,2022,Out,30,0,0,0.000,0,0,27,60.00,400,0,240
5,Latin Caribbean,  ,2022,In,30,46.908127208,2.296819788,0.280,3186,19,-,27.06,25099,156,6792
6,Suriname,  ,2022,Out,30,100,0,0.000,2,0,22,0.34,592,0,2
6,Saint Lucia,  ,2022,Out,30,100,0,0.000,10,0,30,5.99,167,0,10
4,Argentina,"DEN 1,2",2022,Out,30,100,0,0.000,814,0,30,1.78,45606,0,814
3,Colombia,"DEN 1,2,3,4",2022,Out,30,57.145542427,1.901181525,0.059,21281,22,30,72.64,51266,708,37240
1,North America,  ,2022,In,30,100,0,0.000,185,0,-,0.06,332915,0,185
6,Non-Latin Caribbean,  ,2022,In,30,7.187141217,0.137772675,0.000,313,0,-,21.31,20433,6,4355
7,The Americas,  ,2022,In,30,53.037938272,0.128378594,0.047,1194792,1050,-,226.92,992752,2892,2252712
3,Andean Subregion,  ,2022,In,30,68.012364340,0.862786392,0.094,80090,111,-,82.32,143051,1016,117758
6,Anguilla,  ,2022,Out,30,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,30,,,,,,-,,306,,
2,Central America Ithsmus and Mexico,  ,2022,In,30,9.603337866,0.457910580,0.019,8263,16,-,47.34,181738,394,86043
6,Curaçao,  ,2022,Out,30,,,,,,-,,152,,
1,Canada,  ,2022,Out,30,,,,0,0,30,,0,0,0
3,Ecuador,  ,2022,Out,30,100,0.689185095,0.083,13204,11,30,73.81,17888,91,13204
6,Cayman Islands,  ,2022,Out,30,0,0,,0,,30,3.17,63,0,2
6,Haiti,  ,2022,Out,30,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
6,Trinidad and Tobago,  ,2022,Out,30,6.25,0,,1,,20,1.14,1403,0,16
6,Virgin Islands (UK),  ,2022,Out,30,100,18.181818182,,11,,20,28.95,38,2,11
2,Guatemala,"DEN 1,2,3,4",2022,Out,30,27.353376047,0.418925579,0.172,1110,7,30,22.24,18250,17,4058
6,Virgin Islands (US),  ,2022,Out,30,,,,0,0,30,0.00,106,0,0
5,Cuba,"DEN 1,2,3,4",2022,Out,30,100,0.592885375,0.033,3036,1,26,26.83,11317,18,3036
6,Dominica,  ,2022,Out,30,12.5,0,0.000,2,0,30,21.33,75,0,16
2,Costa Rica,"DEN 1,2",2022,Out,30,4.786273329,0,0.000,159,0,30,64.64,5139,0,3322
2,Mexico,"DEN 1,2,3,4",2022,Out,30,14.569229879,0.526528959,0.046,2518,8,30,13.27,130262,91,17283
6,Montserrat,  ,2022,Out,30,0,0,,0,,20,60.00,5,0,3
2,Panama,"DEN 1,2",2022,Out,30,80.041676314,0.208381570,0.023,3457,1,30,98.20,4398,9,4319
2,Honduras,"DEN 1,2,4",2022,Out,30,,1.872309900,,,,30,138.53,10063,261,13940
