ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Guyana,  ,2022,Out,33,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,33,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
4,Chile,  ,2022,Out,33,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,33,12.829650748,1.069137562,0.000,180,0,33,19.43,7220,15,1403
6,Saint Martin,  ,2022,Out,33,0,0,0.000,0,0,27,75.76,33,0,25
3,Peru,"DEN 1,2",2022,Out,33,76.467454991,0.332019460,0.128,43068,72,33,168.84,33359,187,56322
6,Saint Barthelemy,  ,2022,Out,33,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
1,United States of America,  ,2022,Out,33,100,0.383141762,0.000,261,0,33,0.08,332915,1,261
2,Nicaragua,"DEN 1,2,3,4",2022,Out,33,3.157488482,0.019297103,0.000,1309,0,33,618.58,6702,8,41457
6,Aruba,  ,2022,Out,33,33.333333333,0,0.000,2,0,33,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,33,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,33,100,0,,12,,32,11.88,101,0,12
6,Antigua and Barbuda,  ,2022,Out,33,0,0,0.000,0,0,33,4.04,99,0,4
3,Bolivia,"DEN 1,2",2022,Out,33,31.869702849,0.357398142,0.071,3121,7,33,82.76,11833,35,9793
2,Belize,  ,2022,Out,33,,,,0,0,16,0.00,405,0,0
3,Colombia,"DEN 1,2,3,4",2022,Out,33,58.930157739,1.971141149,0.067,24545,28,33,81.24,51266,821,41651
4,Southern Cone,  ,2022,In,33,53.510190753,0.064163648,0.044,1120848,912,-,723.50,289516,1344,2094644
6,Bahamas,  ,2022,Out,33,,,,,,-,,397,,
2,El Salvador,"DEN 1,2,3,4",2022,Out,33,0.699142986,0.090211998,0.000,93,0,33,204.05,6519,12,13302
5,Puerto Rico,"DEN 1,2,3",2022,Out,33,84.186046512,4.186046512,0.000,181,0,33,7.60,2828,9,215
4,Brazil,"DEN 1,2,3,4",2022,Out,33,53.519767042,0.063515671,0.044,1119846,912,33,977.79,213993,1329,2092397
6,Grenada,  ,2022,Out,33,54.166666667,2.083333333,0.000,104,0,33,168.42,114,4,192
6,Barbados,  ,2022,Out,33,0,,0.000,0,0,21,4.97,302,,15
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,33,,,,,,-,,26,,
6,Martinique,  ,2022,Out,33,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Turks and Caicos Islands,  ,2022,Out,33,,,,0,0,33,0.00,57,0,0
6,Guadeloupe,  ,2022,Out,33,0,0,0.000,0,0,27,60.00,400,0,240
6,Jamaica,  ,2022,Out,33,0,0,0.000,0,0,33,1.61,2973,0,48
5,Latin Caribbean,  ,2022,In,33,42.853336886,2.317836686,0.333,3217,25,-,29.91,25099,174,7507
6,Suriname,  ,2022,Out,33,100,0,0.000,2,0,22,0.34,592,0,2
5,Dominican Republic,DEN 2,2022,Out,33,,3.453947368,0.564,,24,33,38.85,10954,147,4256
4,Argentina,"DEN 1,2",2022,Out,33,100,0,0.000,815,0,32,1.79,45606,0,815
6,Bermuda,  ,2022,Out,33,,,,0,0,33,0.00,72,0,0
3,Venezuela,"DEN 1,2,4",2022,Out,33,,,,,,33,13.67,28705,,3923
2,Central America Ithsmus and Mexico,  ,2022,In,33,9.935620706,0.435451781,0.022,10587,23,-,58.63,181738,464,106556
6,Non-Latin Caribbean,  ,2022,In,33,7.373691397,0.136549841,0.000,324,0,-,21.50,20433,6,4394
7,The Americas,  ,2022,In,33,52.150773721,0.133703158,0.046,1219683,1080,-,235.58,992752,3127,2338763
6,Virgin Islands (UK),  ,2022,Out,33,100,9.523809524,,21,,32,55.26,38,2,21
2,Guatemala,"DEN 1,2,3,4",2022,Out,33,25.432307043,0.379586672,0.169,1206,8,33,25.98,18250,18,4742
3,Andean Subregion,  ,2022,In,33,67.340770807,0.907488776,0.096,84446,120,-,87.66,143051,1138,125401
6,Anguilla,  ,2022,Out,33,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,33,,,,,,-,,306,,
1,North America,  ,2022,In,33,100,0.383141762,0.000,261,0,-,0.08,332915,1,261
6,Curaçao,  ,2022,Out,33,,,,,,-,,152,,
2,Costa Rica,"DEN 1,2,3",2022,Out,33,4.789550073,0,0.000,198,0,33,80.44,5139,0,4134
2,Panama,"DEN 1,2",2022,Out,33,79.124808445,0.187297804,0.017,4647,1,33,133.54,4398,11,5873
1,Canada,  ,2022,Out,33,,,,0,0,33,,0,0,0
6,Cayman Islands,  ,2022,Out,33,0,0,,0,,32,3.17,63,0,2
6,Haiti,  ,2022,Out,33,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
6,Trinidad and Tobago,  ,2022,Out,33,6.25,0,,1,,20,1.14,1403,0,16
3,Ecuador,  ,2022,Out,33,100,0.692823804,0.095,13712,13,33,76.65,17888,95,13712
6,Virgin Islands (US),  ,2022,Out,33,,,,0,0,33,0.00,106,0,0
