ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Antigua and Barbuda,  ,2022,Out,34,0,0,0.000,0,0,34,4.04,99,0,4
6,Guyana,  ,2022,Out,34,100,0,0.000,157,0,16,19.87,790,0,157
3,Peru,"DEN 1,2",2022,Out,34,76.277834453,0.337707109,0.128,43367,73,34,170.43,33359,192,56854
4,Uruguay,  ,2022,Out,34,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
4,Chile,  ,2022,Out,34,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,34,12.203389831,1.016949153,0.000,180,0,34,20.43,7220,15,1475
6,Saint Martin,  ,2022,Out,34,0,0,0.000,0,0,27,75.76,33,0,25
6,Saint Barthelemy,  ,2022,Out,34,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
3,Bolivia,"DEN 1,2",2022,Out,34,31.711748082,0.373435608,0.071,3142,7,34,83.73,11833,37,9908
1,United States of America,  ,2022,Out,34,100,0.955414013,0.000,314,0,34,0.09,332915,3,314
2,Nicaragua,"DEN 1,2,3,4",2022,Out,34,3.119176502,0.017747804,0.000,1406,0,34,672.58,6702,8,45076
6,Aruba,  ,2022,Out,34,33.333333333,0,0.000,2,0,34,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,34,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,34,100,0,,12,,32,11.88,101,0,12
2,Belize,  ,2022,Out,34,,,,0,0,16,0.00,405,0,0
3,Venezuela,"DEN 1,2,4",2022,Out,34,,,,,,34,14.44,28705,,4144
4,Southern Cone,  ,2022,In,34,53.315369808,0.063974918,0.043,1125062,916,-,728.87,289516,1350,2110202
6,Bahamas,  ,2022,Out,34,,,,,,-,,397,,
4,Brazil,"DEN 1,2,3,4",2022,Out,34,53.326489184,0.063333686,0.043,1124060,916,34,985.02,213993,1335,2107883
6,Grenada,  ,2022,Out,34,52.525252525,2.020202020,0.000,104,0,34,173.68,114,4,198
4,Argentina,"DEN 1,2",2022,Out,34,100,0,0.000,815,0,34,1.79,45606,0,815
2,El Salvador,"DEN 1,2,3,4",2022,Out,34,0.681069205,0.087879897,0.000,93,0,34,209.46,6519,12,13655
6,Barbados,  ,2022,Out,34,0,,0.000,0,0,21,4.97,302,,15
