ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Saint Barthelemy,  ,2022,Out,24,,,,,,-,,7,,
3,Bolivia,"DEN 1,2",2022,Out,24,35.404173663,0.311825378,0.060,2952,5,24,70.46,11833,26,8338
6,Guyana,  ,2022,Out,24,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,24,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
2,Nicaragua,"DEN 1,2,3,4",2022,Out,24,1.257148745,0.020608996,0.000,244,0,24,289.60,6702,4,19409
4,Chile,  ,2022,Out,24,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,24,12.676056338,1.220657277,0.000,135,0,24,14.75,7220,13,1065
6,Saint Kitts and Nevis,  ,2022,Out,24,0,0,0.000,0,0,24,1.85,54,0,1
6,Saint Martin,  ,2022,Out,24,,,,,,-,,33,,
1,United States of America,  ,2022,Out,24,100,0,0.000,81,0,24,0.02,332915,0,81
6,Aruba,  ,2022,Out,24,33.333333333,0,0.000,2,0,24,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,24,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,24,100,0,,12,,24,11.88,101,0,12
6,Antigua and Barbuda,  ,2022,Out,24,0,0,0.000,0,0,24,4.04,99,0,4
3,Peru,"DEN 1,2",2022,Out,24,78.827269800,0.330006439,0.129,39174,64,24,148.97,33359,164,49696
2,Belize,  ,2022,Out,24,,,,0,0,16,0.00,405,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,24,80.128205128,3.205128205,0.000,125,0,23,5.52,2828,5,156
4,Southern Cone,  ,2022,In,24,56.082042646,0.068361637,0.047,1033670,869,-,636.63,289516,1260,1843139
6,Bahamas,  ,2022,Out,24,,,,,,-,,397,,
4,Brazil,"DEN 1,2,4",2022,Out,24,56.090192162,0.067723413,0.047,1032796,869,24,860.45,213993,1247,1841313
2,El Salvador,"DEN 1,2,3,4",2022,Out,24,0.937357110,0.091449474,0.000,82,0,24,134.19,6519,8,8748
3,Colombia,"DEN 1,2,3,4",2022,Out,24,55.375463095,1.902251354,0.068,15545,19,24,54.76,51266,534,28072
6,Grenada,  ,2022,Out,24,65.517241379,2.758620690,0.000,95,0,24,127.19,114,4,145
6,Barbados,  ,2022,Out,24,0,,0.000,0,0,21,4.97,302,,15
6,Guadeloupe,  ,2022,Out,24,,,,,,-,,400,,
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,24,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,24,0,0,0.000,0,0,24,1.04,2973,0,31
6,Martinique,  ,2022,Out,24,,,,,,-,,375,,
6,Turks and Caicos Islands,  ,2022,Out,24,,,,0,0,24,0.00,57,0,0
5,Latin Caribbean,  ,2022,In,24,4.217273954,3.609986505,0.405,125,12,-,11.81,25099,107,2964
6,Suriname,  ,2022,Out,24,100,0,0.000,2,0,22,0.34,592,0,2
5,Dominican Republic,DEN 2,2022,Out,24,,4.325699746,0.509,,12,24,21.53,10954,102,2358
4,Argentina,"DEN 1,2",2022,Out,24,100,0,0.000,732,0,21,1.61,45606,0,732
6,Bermuda,  ,2022,Out,24,,,,0,0,24,0.00,72,0,0
3,Venezuela,"DEN 1,2,4",2022,Out,24,,,,,,24,7.70,28705,,2209
1,North America,  ,2022,In,24,100,0,0.000,81,0,-,0.02,332915,0,81
6,Non-Latin Caribbean,  ,2022,In,24,14.839710445,0.310237849,0.000,287,0,-,9.47,20433,6,1934
7,The Americas,  ,2022,In,24,55.327174165,0.120931311,0.050,1107172,993,-,201.57,992752,2420,2001136
3,Andean Subregion,  ,2022,In,24,69.252689035,0.801693691,0.096,69020,96,-,69.67,143051,799,99664
6,Anguilla,  ,2022,Out,24,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,24,,,,,,-,,306,,
2,Central America Ithsmus and Mexico,  ,2022,In,24,7.476477865,0.464819882,0.030,3989,16,-,29.36,181738,248,53354
6,Curaçao,  ,2022,Out,24,,,,,,-,,152,,
2,Guatemala,"DEN 1,2,3,4",2022,Out,24,28.720836685,0.603378922,0.241,714,6,24,13.62,18250,15,2486
2,Costa Rica,"DEN 1,2",2022,Out,24,5.381604697,0,0.000,110,0,24,39.77,5139,0,2044
2,Mexico,"DEN 1,2,3,4",2022,Out,24,13.501316284,0.573523881,0.047,1436,5,24,8.17,130262,61,10636
2,Panama,"DEN 1,2",2022,Out,24,79.852020489,0.284575982,0.057,1403,1,24,39.95,4398,5,1757
6,Trinidad and Tobago,  ,2022,Out,24,6.25,0,,1,,20,1.14,1403,0,16
6,Virgin Islands (UK),  ,2022,Out,24,100,18.181818182,,11,,20,28.95,38,2,11
3,Ecuador,  ,2022,Out,24,100,0.660851176,0.070,11349,8,24,63.44,17888,75,11349
6,Virgin Islands (US),  ,2022,Out,24,,,,0,0,24,0.00,106,0,0
6,Saint Lucia,  ,2022,Out,24,100,0,0.000,4,0,24,2.40,167,0,4
