ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Antigua and Barbuda,  ,2022,Out,32,0,0,0.000,0,0,32,4.04,99,0,4
6,Guyana,  ,2022,Out,32,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,32,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
4,Chile,  ,2022,Out,32,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,32,13.030746706,1.098096633,0.000,178,0,32,18.92,7220,15,1366
6,Saint Martin,  ,2022,Out,32,0,0,0.000,0,0,27,75.76,33,0,25
6,Saint Barthelemy,  ,2022,Out,32,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
3,Bolivia,"DEN 1,2",2022,Out,32,32.041636607,0.340101000,0.072,3109,7,32,82.00,11833,33,9703
3,Peru,"DEN 1,2",2022,Out,32,76.624705946,0.335805484,0.129,42670,72,32,166.93,33359,187,55687
1,United States of America,  ,2022,Out,32,100,0,0.000,225,0,32,0.07,332915,0,225
2,Nicaragua,"DEN 1,2,3,4",2022,Out,32,3.215118745,0.021204411,0.000,1213,0,32,562.94,6702,8,37728
6,Aruba,  ,2022,Out,32,33.333333333,0,0.000,2,0,32,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,32,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,32,100,0,,12,,32,11.88,101,0,12
6,Bermuda,  ,2022,Out,32,,,,0,0,32,0.00,72,0,0
2,Belize,  ,2022,Out,32,,,,0,0,16,0.00,405,0,0
3,Venezuela,"DEN 1,2,4",2022,Out,32,,,,,,32,12.78,28705,,3669
4,Southern Cone,  ,2022,In,32,53.702847048,0.064406967,0.044,1115631,911,-,717.55,289516,1338,2077415
6,Bahamas,  ,2022,Out,32,,,,,,-,,397,,
6,Grenada,  ,2022,Out,32,57.142857143,2.197802198,0.000,104,0,32,159.65,114,4,182
4,Brazil,"DEN 1,2,3,4",2022,Out,32,53.711850155,0.063752738,0.044,1114631,911,32,969.75,213993,1323,2075205
2,El Salvador,"DEN 1,2,3,4",2022,Out,32,0.676779463,0.077790743,0.000,87,0,32,197.19,6519,10,12855
6,Barbados,  ,2022,Out,32,0,,0.000,0,0,21,4.97,302,,15
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,32,,,,,,-,,26,,
6,Martinique,  ,2022,Out,32,4.090909091,0,0.000,9,0,27,58.67,375,0,220
6,Jamaica,  ,2022,Out,32,0,0,0.000,0,0,32,1.38,2973,0,41
6,Turks and Caicos Islands,  ,2022,Out,32,,,,0,0,32,0.00,57,0,0
5,Dominican Republic,DEN 2,2022,Out,32,,3.604505632,0.551,,22,32,36.47,10954,144,3995
6,Guadeloupe,  ,2022,Out,32,0,0,0.000,0,0,27,60.00,400,0,240
5,Latin Caribbean,  ,2022,In,32,44.255260244,2.367109635,0.318,3197,23,-,28.78,25099,171,7224
6,Suriname,  ,2022,Out,32,100,0,0.000,2,0,22,0.34,592,0,2
6,Saint Lucia,  ,2022,Out,32,100,0,0.000,11,0,32,6.59,167,0,11
4,Argentina,"DEN 1,2",2022,Out,32,100,0,0.000,815,0,32,1.79,45606,0,815
3,Colombia,"DEN 1,2,3,4",2022,Out,32,58.578052550,1.939472503,0.060,23498,24,32,78.25,51266,778,40114
5,Puerto Rico,"DEN 1,2,3",2022,Out,32,83.419689119,4.663212435,0.000,161,0,31,6.82,2828,9,193
1,North America,  ,2022,In,32,100,0,0.000,225,0,-,0.07,332915,0,225
6,Non-Latin Caribbean,  ,2022,In,32,7.402330363,0.137080192,0.000,324,0,-,21.42,20433,6,4377
7,The Americas,  ,2022,In,32,52.438344833,0.131824640,0.046,1212062,1071,-,232.83,992752,3047,2311404
6,Virgin Islands (UK),  ,2022,Out,32,100,9.523809524,,21,,32,55.26,38,2,21
3,Ecuador,  ,2022,Out,32,100,0.694393145,0.089,13537,12,32,75.68,17888,94,13537
3,Andean Subregion,  ,2022,In,32,67.487572325,0.889903023,0.094,82814,115,-,85.78,143051,1092,122710
6,Anguilla,  ,2022,Out,32,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,32,,,,,,-,,306,,
2,Central America Ithsmus and Mexico,  ,2022,In,32,9.925291344,0.442420038,0.022,9871,22,-,54.72,181738,440,99453
6,Curaçao,  ,2022,Out,32,,,,,,-,,152,,
2,Mexico,"DEN 1,2,3,4",2022,Out,32,14.832708023,0.544791078,0.041,2886,8,32,14.94,130262,106,19457
6,Cayman Islands,  ,2022,Out,32,0,0,,0,,32,3.17,63,0,2
