ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Guyana,  ,2022,Out,38,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,38,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
4,Chile,  ,2022,Out,38,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,38,10.638297872,0.977573318,0.000,185,0,38,24.09,7220,17,1739
6,Saint Martin,  ,2022,Out,38,0,0,0.000,0,0,27,75.76,33,0,25
3,Peru,"DEN 1,2",2022,Out,38,75.031047562,0.327258081,0.128,44708,76,38,178.62,33359,195,59586
6,Saint Barthelemy,  ,2022,Out,38,1.149425287,0,0.000,1,0,27,"1,242.86",7,0,87
1,United States of America,  ,2022,Out,38,100,1.158940397,0.000,604,0,38,0.18,332915,7,604
2,Nicaragua,"DEN 1,2,3,4",2022,Out,38,3.488900542,0.026219192,0.000,1996,0,38,853.63,6702,15,57210
6,Aruba,  ,2022,Out,38,33.333333333,0,0.000,2,0,36,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,38,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,38,100,0,,12,,32,11.88,101,0,12
6,Antigua and Barbuda,  ,2022,Out,38,0,0,0.000,0,0,36,4.04,99,0,4
3,Bolivia,"DEN 1,2",2022,Out,38,30.567811241,0.374064838,0.067,3187,7,38,88.11,11833,39,10426
4,Argentina,"DEN 1,2",2022,Out,38,100,0,0.000,815,0,36,1.79,45606,0,815
4,Southern Cone,  ,2022,In,38,52.619628629,0.063479529,0.043,1138111,927,-,747.08,289516,1373,2162902
6,Bahamas,  ,2022,Out,38,,,,,,-,,397,,
4,Brazil,"DEN 1,2,3,4",2022,Out,38,52.635930157,0.062768508,0.043,1137104,927,38,"1,009.53",213993,1356,2160319
2,El Salvador,"DEN 1,2,3,4",2022,Out,38,0.627699784,0.080993521,0.000,93,0,38,227.27,6519,12,14816
3,Colombia,"DEN 1,2,3,4",2022,Out,38,62.254382135,1.954546400,0.069,29940,33,38,93.81,51266,940,48093
6,Grenada,  ,2022,Out,38,45.614035088,3.070175439,0.000,104,0,38,200.00,114,7,228
6,Barbados,  ,2022,Out,38,0,,0.000,0,0,21,4.97,302,,15
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,38,,,,,,-,,26,,
6,Martinique,  ,2022,Out,38,4.090909091,0,0.000,9,0,27,58.67,375,0,220
5,Dominican Republic,DEN 2,2022,Out,38,,3.083626613,0.570,,34,38,54.47,10954,184,5967
6,Turks and Caicos Islands,  ,2022,Out,38,,,,0,0,36,0.00,57,0,0
6,Guadeloupe,  ,2022,Out,38,0,0,0.000,0,0,27,60.00,400,0,240
6,Jamaica,  ,2022,Out,38,0,0,0.000,0,0,38,1.98,2973,0,59
5,Latin Caribbean,  ,2022,In,38,35.462437038,2.282713536,0.375,3309,35,-,37.18,25099,213,9331
6,Suriname,  ,2022,Out,38,100,0,0.000,2,0,22,0.34,592,0,2
6,Bermuda,  ,2022,Out,38,,,,0,0,36,0.00,72,0,0
2,Belize,  ,2022,Out,38,100,0,0.000,207,0,36,51.11,405,0,207
5,Puerto Rico,"DEN 1,2,3",2022,Out,38,83.231707317,3.353658537,0.000,273,0,38,11.60,2828,11,328
3,Venezuela,"DEN 1,2,3,4",2022,Out,38,21.353443143,0.297678111,0.179,1076,9,38,17.55,28705,15,5039
2,Central America Ithsmus and Mexico,  ,2022,In,38,10.937730741,0.420519672,0.023,15554,32,-,78.25,181738,598,142205
1,North America,  ,2022,In,38,100,1.158940397,0.000,604,0,-,0.18,332915,7,604
6,Non-Latin Caribbean,  ,2022,In,38,7.406578653,0.201387335,0.000,331,0,-,21.87,20433,9,4469
7,The Americas,  ,2022,In,38,50.912876752,0.141989481,0.046,1250685,1134,-,247.45,992752,3488,2456520
3,Andean Subregion,  ,2022,In,38,67.715259581,0.940084228,0.102,92776,140,-,95.78,143051,1288,137009
6,Anguilla,  ,2022,Out,38,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,38,,,,,,-,,306,,
6,Curaçao,  ,2022,Out,38,,,,,,-,,152,,
2,Panama,"DEN 1,2",2022,Out,38,77.236079617,0.176366843,0.038,6131,3,38,180.49,4398,14,7938
6,Trinidad and Tobago,  ,2022,Out,38,7.894736842,0,,3,,36,2.71,1403,0,38
2,Guatemala,"DEN 1,2,3,4",2022,Out,38,20.510204082,0.340136054,0.136,1206,8,38,32.22,18250,20,5880
1,Canada,  ,2022,Out,38,,,,0,0,38,,0,0,0
6,Cayman Islands,  ,2022,Out,38,0,0,,0,,32,3.17,63,0,2
2,Costa Rica,"DEN 1,2,3,4",2022,Out,38,6.552380952,0,0.000,344,0,38,102.16,5139,0,5250
6,Haiti,  ,2022,Out,38,0.060313631,0,0.000,2,0,26,28.73,11542,0,3316
6,Virgin Islands (UK),  ,2022,Out,38,100,9.090909091,,22,,36,57.89,38,2,22
3,Ecuador,  ,2022,Out,38,100,0.714028128,0.108,13865,15,34,77.51,17888,99,13865
6,Virgin Islands (US),  ,2022,Out,38,,,,0,0,38,0.00,106,0,0
6,Saint Lucia,  ,2022,Out,38,100,0,0.000,15,0,38,8.98,167,0,15
5,Cuba,"DEN 1,2,3,4",2022,Out,38,100,0.592885375,0.033,3036,1,26,26.83,11317,18,3036
6,Dominica,  ,2022,Out,38,12.5,0,0.000,2,0,36,21.33,75,0,16
2,Mexico,"DEN 1,2,3,4",2022,Out,38,17.919799499,0.578368999,0.045,5577,14,38,23.89,130262,180,31122
6,Saint Kitts and Nevis,  ,2022,Out,38,0,0,0.000,0,0,32,1.85,54,0,1
6,Montserrat,  ,2022,Out,38,0,0,,0,,36,80.00,5,0,4
2,Honduras,"DEN 1,2,4",2022,Out,38,,1.804670913,0.035,,7,38,196.58,10063,357,19782
