ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Saint Barthelemy,  ,2022,Out,20,,,,,,-,,7,,
6,Antigua and Barbuda,  ,2022,Out,20,0,0,0.000,0,0,20,4.04,99,0,4
6,Guyana,  ,2022,Out,20,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,20,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
4,Chile,  ,2022,Out,20,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,20,12.770562771,0,0.000,118,0,20,12.80,7220,0,924
6,Saint Kitts and Nevis,  ,2022,Out,20,0,0,0.000,0,0,20,1.85,54,0,1
6,Saint Martin,  ,2022,Out,20,,,,,,-,,33,,
3,Bolivia,"DEN 1,2",2022,Out,20,37.313231929,0.269215238,0.067,2772,5,20,62.78,11833,20,7429
3,Peru,"DEN 1,2",2022,Out,20,81.006026889,0.345387112,0.141,34946,61,20,129.32,33359,149,43140
1,United States of America,  ,2022,Out,20,100,0,0.000,70,0,20,0.02,332915,0,70
2,Nicaragua,"DEN 1,2,3,4",2022,Out,20,1.240880889,0.020454081,0.000,182,0,20,218.85,6702,3,14667
6,Aruba,  ,2022,Out,20,33.333333333,0,0.000,2,0,20,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,20,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,20,100,0,,12,,20,11.88,101,0,12
6,Bermuda,  ,2022,Out,20,,,,0,0,20,0.00,72,0,0
2,Belize,  ,2022,Out,20,,,,0,0,16,0.00,405,0,0
3,Venezuela,"DEN 1,2,4",2022,Out,20,,0.361010830,0.120,,2,20,5.79,28705,6,1662
4,Southern Cone,  ,2022,In,20,58.394653461,0.070636721,0.051,919279,798,-,543.75,289516,1112,1574252
6,Bahamas,  ,2022,Out,20,,,,,,-,,397,,
