ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
6,Saint Barthelemy,  ,2022,Out,25,,,,,,-,,7,,
6,Antigua and Barbuda,  ,2022,Out,25,0,0,0.000,0,0,25,4.04,99,0,4
6,Guyana,  ,2022,Out,25,100,0,0.000,157,0,16,19.87,790,0,157
4,Uruguay,  ,2022,Out,25,24.137931034,0,0.000,7,0,20,0.83,3485,0,29
4,Chile,  ,2022,Out,25,,,,0,0,8,0.00,19212,0,0
4,Paraguay,"DEN 1,2",2022,Out,25,12.241224122,1.170117012,0.000,136,0,25,15.39,7220,13,1111
6,Saint Kitts and Nevis,  ,2022,Out,25,0,0,0.000,0,0,25,1.85,54,0,1
6,Saint Martin,  ,2022,Out,25,,,,,,-,,33,,
2,Nicaragua,"DEN 1,2,3,4",2022,Out,25,1.450302343,0.023620559,0.000,307,0,25,315.85,6702,5,21168
3,Peru,"DEN 1,2",2022,Out,25,78.376302365,0.328914974,0.126,39794,64,25,152.20,33359,167,50773
1,United States of America,  ,2022,Out,25,100,0,0.000,89,0,25,0.03,332915,0,89
6,Aruba,  ,2022,Out,25,33.333333333,0,0.000,2,0,25,4.96,121,0,6
6,Sint Maarten,  ,2022,Out,25,,,,,,-,,45,,
6,Saint Vincent and the Grenadines,  ,2022,Out,25,100,0,,12,,25,11.88,101,0,12
3,Bolivia,"DEN 1,2",2022,Out,25,35.045140110,0.328291711,0.059,2989,5,25,72.08,11833,28,8529
6,Bermuda,  ,2022,Out,25,,,,0,0,25,0.00,72,0,0
2,Belize,  ,2022,Out,25,,,,0,0,16,0.00,405,0,0
5,Puerto Rico,"DEN 1,2",2022,Out,25,80.368098160,3.067484663,0.000,131,0,25,5.76,2828,5,163
3,Venezuela,"DEN 1,2,4",2022,Out,25,,,,,,25,8.25,28705,,2368
4,Southern Cone,  ,2022,In,25,55.622964521,0.067379560,0.047,1050883,879,-,652.57,289516,1273,1889297
6,Bahamas,  ,2022,Out,25,,,,,,-,,397,,
6,Grenada,  ,2022,Out,25,63.758389262,2.684563758,0.000,95,0,25,130.70,114,4,149
4,Brazil,"DEN 1,2,4",2022,Out,25,55.631773448,0.066757620,0.047,1050008,879,25,882.00,213993,1260,1887425
2,El Salvador,"DEN 1,2,3,4",2022,Out,25,0.883144857,0.086160474,0.000,82,0,25,142.43,6519,8,9285
6,Barbados,  ,2022,Out,25,0,,0.000,0,0,21,4.97,302,,15
6,Guadeloupe,  ,2022,Out,25,,,,,,-,,400,,
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,25,,,,,,-,,26,,
6,Jamaica,  ,2022,Out,25,0,0,0.000,0,0,24,1.04,2973,0,31
6,Turks and Caicos Islands,  ,2022,Out,25,,,,0,0,25,0.00,57,0,0
6,Martinique,  ,2022,Out,25,,,,,,-,,375,,
5,Dominican Republic,DEN 2,2022,Out,25,,3.797468354,0.475,,12,25,23.08,10954,96,2528
5,Latin Caribbean,  ,2022,In,25,4.170646291,3.215536453,0.382,131,12,-,12.51,25099,101,3141
6,Suriname,  ,2022,Out,25,100,0,0.000,2,0,22,0.34,592,0,2
6,Saint Lucia,  ,2022,Out,25,100,0,0.000,5,0,25,2.99,167,0,5
4,Argentina,"DEN 1,2",2022,Out,25,100,0,0.000,732,0,21,1.61,45606,0,732
3,Colombia,"DEN 1,2,3,4",2022,Out,25,55.575911790,1.896522477,0.064,16381,19,25,57.49,51266,559,29475
6,Non-Latin Caribbean,  ,2022,In,25,14.853017019,0.309437855,0.000,288,0,-,9.49,20433,6,1939
7,The Americas,  ,2022,In,25,54.818381915,0.117617015,0.048,1126970,996,-,207.08,992752,2418,2055825
3,Ecuador,  ,2022,Out,25,100,,,11712,,25,65.47,17888,,11712
3,Andean Subregion,  ,2022,In,25,68.907317927,0.733056574,0.086,70876,88,-,71.90,143051,754,102857
6,Anguilla,  ,2022,Out,25,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,25,,,,,,-,,306,,
1,North America,  ,2022,In,25,100,0,0.000,89,0,-,0.03,332915,0,89
2,Central America Ithsmus and Mexico,  ,2022,In,25,8.039041400,0.485453489,0.029,4703,17,-,32.19,181738,284,58502
6,Curaçao,  ,2022,Out,25,,,,,,-,,152,,
2,Mexico,"DEN 1,2,3,4",2022,Out,25,14.485582665,0.563043849,0.043,1698,5,25,9.00,130262,66,11722
6,Cayman Islands,  ,2022,Out,25,0,0,,0,,25,3.17,63,0,2
6,Trinidad and Tobago,  ,2022,Out,25,6.25,0,,1,,20,1.14,1403,0,16
6,Virgin Islands (UK),  ,2022,Out,25,100,18.181818182,,11,,20,28.95,38,2,11
2,Guatemala,"DEN 1,2,3,4",2022,Out,25,28.540462428,0.578034682,0.253,790,7,25,15.17,18250,16,2768
6,Virgin Islands (US),  ,2022,Out,25,,,,0,0,25,0.00,106,0,0
6,Dominica,  ,2022,Out,25,12.5,0,0.000,2,0,25,21.33,75,0,16
1,Canada,  ,2022,Out,25,,,,0,0,25,,0,0,0
2,Costa Rica,"DEN 1,2",2022,Out,25,5.277280859,0,0.000,118,0,25,43.51,5139,0,2236
6,Haiti,  ,2022,Out,25,0.066269052,0,0.000,1,0,13,13.07,11542,0,1509
6,Montserrat,  ,2022,Out,25,0,0,,0,,20,60.00,5,0,3
5,Cuba,"DEN 1,2",2022,Out,25,,0,0.000,,0,20,3.98,11317,0,450
2,Panama,"DEN 1,2",2022,Out,25,80.642115203,0.283286119,0.047,1708,1,25,48.16,4398,6,2118
2,Honduras,"DEN 1,2,4",2022,Out,25,,1.988049973,0.043,,4,25,91.47,10063,183,9205
